pair_id,split,priority,chk_priority,chk_zone,chk_district,chk_state,chk_headcount,chk_entry_count,chk_hazard,chk_location,all_pass,summary_preview
SLM-000011,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding and road blockages, ZONE-2 Bengaluru, Karnataka. 5 reports, 79 affected. NDRF flood rescue team and res"
SLM-000012,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-2 Madurai, Tamil Nadu -- road blockages and rescue emergencies plus 1 more. 5 reports, 32 affected. traff"
SLM-000013,validation,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-1 Ahmedabad (Gujarat): flooding and medical emergencies plus 1 more, 216 affected across 5 reports. Dep"
SLM-000014,test,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE: ZONE-4 Chennai, Tamil Nadu -- flooding and medical emergencies plus 1 more. 6 reports, 24 affected. Deploy sand"
SLM-000015,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-4 Gorakhpur (Uttar Pradesh): rescue emergencies and medical emergencies plus 1 more, 62 affected across "
SLM-000016,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-2 Rajkot, Gujarat -- road blockages and flooding plus 1 more. 6 reports, 81 affected. earthmover (JCB) and "
SLM-000017,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and road blockages in ZONE-1 Thanjavur, Tamil Nadu; 172 affected, 5 reports. rescue boat and sandbag"
SLM-000018,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-4 Dhemaji (Assam): rescue emergencies and medical emergencies plus 1 more, 102 affected across 5 reports. "
SLM-000019,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-1 Patna (Bihar): road blockages and flooding, 46 affected across 5 reports. Dispatch tow truck and life "
SLM-000020,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: medical emergencies and flooding plus 1 more, ZONE-2 Muzaffarpur, Bihar. 7 reports, 304 affected. Deploy NDRF"
SLM-000021,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-5 Thanjavur (Tamil Nadu): flooding and medical emergencies plus 1 more, 45 affected across 5 reports. De"
SLM-000022,validation,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-1 Dhemaji, Assam -- flooding and rescue emergencies plus 1 more. 5 reports, 37 affected. Send life jacket"
SLM-000023,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and rescue emergencies plus 1 more in ZONE-4 Rajkot, Gujarat; 167 affected, 8 reports. NDRF flood re"
SLM-000024,train,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE - ZONE-4 Muzaffarpur (Bihar): flooding and medical emergencies plus 1 more, 22 affected across 5 reports. rescue"
SLM-000025,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-5 Bhagalpur (Bihar): flooding and rescue emergencies plus 1 more, 83 affected across 6 reports. Deploy "
SLM-000026,validation,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-4 Nashik, Maharashtra -- flooding and rescue emergencies. 7 reports, 65 affected. rescue rope and ladder "
SLM-000027,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-2 Chennai, Tamil Nadu -- flooding and medical emergencies plus 2 more. 7 reports, 68 affected. Send water"
SLM-000028,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: flooding and road blockages plus 2 more, ZONE-5 Tiruppur, Tamil Nadu. 7 reports, 124 affected. Send fire and "
SLM-000029,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-5 Murshidabad (West Bengal): road blockages and flooding plus 1 more, 53 affected across 5 reports. traf"
SLM-000030,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-3 Kendrapara, Odisha -- flooding and rescue emergencies. 5 reports, 174 affected. water pump and sandbag"
SLM-000031,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-2 Bhagalpur (Bihar): flooding and rescue emergencies plus 1 more, 74 affected across 6 reports. Deploy "
SLM-000032,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: flooding and rescue emergencies, ZONE-3 Bengaluru, Karnataka. 5 reports, 132 affected. Deploy NDRF rescue tea"
SLM-000033,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding and road blockages plus 1 more, ZONE-1 Kozhikode, Kerala. 6 reports, 118 affected. Send rescue rope and"
SLM-000034,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-4 Ahmedabad, Gujarat -- rescue emergencies and medical emergencies plus 1 more. 6 reports, 164 affected."
SLM-000035,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: rescue emergencies and flooding plus 2 more, ZONE-3 Pune, Maharashtra. 8 reports, 71 affected. Send ambulance "
SLM-000036,train,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE - ZONE-5 Barpeta (Assam): rescue emergencies and flooding, 15 affected across 5 reports. Deploy road clearance t"
SLM-000037,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: medical emergencies and flooding plus 1 more, ZONE-5 Bhagalpur, Bihar. 5 reports, 87 affected. Send medical firs"
SLM-000038,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-2 Guwahati (Assam): road blockages and flooding plus 1 more, 51 affected across 5 reports. Dispatch resc"
SLM-000039,test,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE - ZONE-3 Madurai (Tamil Nadu): flooding and road blockages plus 1 more, 15 affected across 5 reports. Deploy ear"
SLM-000040,validation,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-3 Cuttack, Odisha -- rescue emergencies and road blockages plus 2 more. 7 reports, 136 affected. Dispatc"
SLM-000041,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-5 Madurai, Tamil Nadu -- road blockages and flooding plus 1 more. 5 reports, 83 affected. Deploy NDRF fl"
SLM-000042,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-3 Vadodara, Gujarat -- road blockages and medical emergencies plus 1 more. 5 reports, 81 affected. traffic "
SLM-000043,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-1 Puri, Odisha -- rescue emergencies and medical emergencies plus 1 more. 5 reports, 40 affected. NDRF re"
SLM-000044,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-3 Thrissur, Kerala -- flooding and rescue emergencies plus 2 more. 9 reports, 83 affected. Deploy water p"
SLM-000045,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: road blockages and medical emergencies plus 1 more, ZONE-2 Patna, Bihar. 5 reports, 149 affected. Send road c"
SLM-000046,test,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. medical emergencies and flooding plus 2 more in ZONE-4 Kendrapara, Odisha; 203 affected, 8 reports. Deploy life "
SLM-000047,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-5 Alappuzha, Kerala -- medical emergencies and flooding plus 1 more. 7 reports, 184 affected. Dispatch ambu"
SLM-000048,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-4 Chennai (Tamil Nadu): rescue emergencies and flooding, 238 affected across 6 reports. Deploy NDRF res"
SLM-000049,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and medical emergencies in ZONE-3 Prayagraj, Uttar Pradesh; 99 affected, 5 reports. Deploy rescue bo"
SLM-000050,test,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. rescue emergencies and flooding plus 1 more in ZONE-5 Pune, Maharashtra; 81 affected, 7 reports. Deploy NDRF flo"
SLM-000051,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-1 Kochi, Kerala -- rescue emergencies and flooding plus 1 more. 5 reports, 44 affected. Dispatch ambulanc"
SLM-000052,test,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE: rescue emergencies and flooding plus 2 more, ZONE-2 Kottayam, Kerala. 5 reports, 22 affected. Dispatch ambulanc"
SLM-000053,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-1 Murshidabad (West Bengal): flooding and rescue emergencies, 115 affected across 5 reports. Deploy water "
SLM-000054,validation,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE - ZONE-1 Kolkata (West Bengal): flooding and medical emergencies plus 2 more, 25 affected across 7 reports. wate"
SLM-000055,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-5 Madurai (Tamil Nadu): flooding and rescue emergencies plus 1 more, 46 affected across 7 reports. Deplo"
SLM-000056,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-4 Surat, Gujarat -- flooding and medical emergencies plus 1 more. 5 reports, 73 affected. rescue rope and l"
SLM-000057,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-4 Vadodara (Gujarat): flooding and rescue emergencies, 161 affected across 6 reports. Dispatch road cleara"
SLM-000058,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. rescue emergencies and flooding plus 1 more in ZONE-4 Barpeta, Assam; 180 affected, 5 reports. Send fire and "
SLM-000059,test,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding and road blockages plus 1 more, ZONE-2 Chennai, Tamil Nadu. 5 reports, 133 affected. Deploy rescue boat"
SLM-000060,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. road blockages and rescue emergencies plus 1 more in ZONE-2 Darbhanga, Bihar; 207 affected, 5 reports. Send t"
SLM-000061,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: road blockages and flooding, ZONE-3 Kolkata, West Bengal. 8 reports, 84 affected. Send road clearance team and"
SLM-000062,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. flooding and rescue emergencies plus 1 more in ZONE-2 Gaya, Bihar; 118 affected, 6 reports. Send fire and rescue"
SLM-000063,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. medical emergencies and flooding plus 1 more in ZONE-2 Bengaluru, Karnataka; 161 affected, 5 reports. Deploy "
SLM-000064,train,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE: ZONE-2 Bhubaneswar, Odisha -- flooding and road blockages. 7 reports, 29 affected. Deploy life jackets and NDRF"
SLM-000065,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-3 Kanpur, Uttar Pradesh -- flooding and rescue emergencies plus 1 more. 6 reports, 131 affected. fire an"
SLM-000066,validation,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: flooding and rescue emergencies plus 1 more, ZONE-3 Muzaffarpur, Bihar. 5 reports, 42 affected. Deploy earthmo"
SLM-000067,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. road blockages and flooding plus 1 more in ZONE-5 Dhemaji, Assam; 56 affected, 5 reports. Deploy traffic police "
SLM-000068,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-3 Patna (Bihar): flooding and road blockages plus 1 more, 64 affected across 7 reports. Send drainage te"
SLM-000069,test,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-5 Lucknow (Uttar Pradesh): medical emergencies and flooding plus 1 more, 36 affected across 5 reports. D"
SLM-000070,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-1 Ahmedabad, Gujarat -- flooding and rescue emergencies plus 1 more. 8 reports, 179 affected. drainage t"
SLM-000071,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. medical emergencies and rescue emergencies plus 1 more in ZONE-5 Surat, Gujarat; 113 affected, 5 reports. Sen"
SLM-000072,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: rescue emergencies and flooding plus 1 more, ZONE-2 Alappuzha, Kerala. 6 reports, 39 affected. Dispatch relief"
SLM-000073,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: rescue emergencies and road blockages plus 1 more, ZONE-4 Nagpur, Maharashtra. 7 reports, 80 affected. Deploy "
SLM-000074,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. flooding and rescue emergencies plus 1 more in ZONE-3 Barpeta, Assam; 233 affected, 9 reports. Send rescue rope "
SLM-000075,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. flooding and rescue emergencies in ZONE-3 Kolhapur, Maharashtra; 155 affected, 7 reports. Dispatch road clearanc"
SLM-000076,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-4 Barpeta, Assam -- flooding. 5 reports, 210 affected. Send rescue boat and life jackets plus 1 more to "
SLM-000077,validation,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-1 Balasore (Odisha): flooding and rescue emergencies plus 1 more, 57 affected across 5 reports. Dispatch"
SLM-000078,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and rescue emergencies plus 2 more in ZONE-4 Kochi, Kerala; 217 affected, 8 reports. drainage team a"
SLM-000079,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. rescue emergencies and flooding plus 2 more in ZONE-4 Kendrapara, Odisha; 151 affected, 8 reports. Dispatch N"
SLM-000080,train,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE - ZONE-1 Thrissur (Kerala): rescue emergencies and flooding plus 1 more, 21 affected across 5 reports. Dispatch "
SLM-000081,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-5 Chennai, Tamil Nadu -- flooding and rescue emergencies. 5 reports, 53 affected. water pump and NDRF res"
SLM-000082,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-4 Darbhanga (Bihar): rescue emergencies and flooding, 67 affected across 7 reports. Dispatch fire and re"
SLM-000083,test,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-5 Kozhikode (Kerala): rescue emergencies and flooding, 144 affected across 7 reports. rescue rope and ladd"
SLM-000084,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-2 Bharuch (Gujarat): rescue emergencies and road blockages plus 1 more, 133 affected across 6 reports. Dep"
SLM-000085,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and rescue emergencies in ZONE-5 Malda, West Bengal; 262 affected, 6 reports. water pump and relief "
SLM-000086,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and rescue emergencies in ZONE-2 Jorhat, Assam; 152 affected, 6 reports. Dispatch water pump and amb"
SLM-000087,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-1 Bharuch (Gujarat): flooding and rescue emergencies plus 1 more, 54 affected across 5 reports. Deploy wat"
SLM-000088,validation,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and road blockages in ZONE-1 Gorakhpur, Uttar Pradesh; 59 affected, 6 reports. Dispatch water pump a"
SLM-000089,validation,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and rescue emergencies in ZONE-2 Tiruppur, Tamil Nadu; 183 affected, 5 reports. Send water pump and "
SLM-000090,train,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE - ZONE-2 Coimbatore (Tamil Nadu): rescue emergencies and flooding, 30 affected across 6 reports. Dispatch rescue"
SLM-000091,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding and rescue emergencies plus 1 more, ZONE-4 Darjeeling, West Bengal. 5 reports, 55 affected. Send NDRF f"
SLM-000092,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-4 Bhagalpur (Bihar): flooding and road blockages plus 1 more, 223 affected across 8 reports. Send tow t"
SLM-000093,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-1 Varanasi (Uttar Pradesh): flooding and rescue emergencies, 231 affected across 9 reports. Deploy relief "
SLM-000094,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. rescue emergencies and road blockages plus 1 more in ZONE-5 Gorakhpur, Uttar Pradesh; 159 affected, 5 reports"
SLM-000095,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. road blockages and rescue emergencies plus 1 more in ZONE-3 Jorhat, Assam; 174 affected, 6 reports. rescue bo"
SLM-000096,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-3 Kolhapur, Maharashtra -- rescue emergencies and road blockages plus 2 more. 5 reports, 55 affected. Dispa"
SLM-000097,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding, ZONE-3 Prayagraj, Uttar Pradesh. 5 reports, 96 affected. Send road clearance team and sandbags plus 1 "
SLM-000098,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-2 Thanjavur (Tamil Nadu): flooding and medical emergencies plus 2 more, 250 affected across 5 reports. "
SLM-000099,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding and rescue emergencies plus 1 more, ZONE-4 Coimbatore, Tamil Nadu. 6 reports, 97 affected. Send life ja"
SLM-000100,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-4 Darbhanga (Bihar): flooding and rescue emergencies, 97 affected across 5 reports. Send water pump and"
SLM-000101,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: rescue emergencies and medical emergencies plus 1 more, ZONE-3 Pune, Maharashtra. 5 reports, 96 affected. Dispat"
SLM-000102,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-2 Vadodara (Gujarat): flooding and medical emergencies, 107 affected across 5 reports. rescue boat and rel"
SLM-000103,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-3 Darbhanga (Bihar): flooding and medical emergencies plus 1 more, 126 affected across 5 reports. Deplo"
SLM-000104,train,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE: ZONE-2 Dibrugarh, Assam -- road blockages and flooding plus 1 more. 6 reports, 21 affected. Deploy rescue boat "
SLM-000105,validation,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-4 Bengaluru, Karnataka -- flooding and rescue emergencies. 5 reports, 153 affected. road clearance team "
SLM-000106,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED. medical emergencies and rescue emergencies plus 2 more in ZONE-3 Balasore, Odisha; 54 affected, 7 reports. Dep"
SLM-000107,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. road blockages and flooding in ZONE-3 Gaya, Bihar; 40 affected, 5 reports. Send earthmover (JCB) and life jacket"
SLM-000108,validation,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-3 Nagpur, Maharashtra -- rescue emergencies and flooding plus 1 more. 5 reports, 31 affected. Dispatch me"
SLM-000109,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED. rescue emergencies and flooding plus 1 more in ZONE-4 Pune, Maharashtra; 59 affected, 8 reports. Deploy NDRF r"
SLM-000110,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and road blockages plus 1 more in ZONE-1 Mysuru, Karnataka; 181 affected, 7 reports. Dispatch rescue"
SLM-000111,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-4 Bhagalpur, Bihar -- flooding and rescue emergencies. 5 reports, 37 affected. Deploy road clearance team"
SLM-000112,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-5 Dhemaji, Assam -- flooding. 5 reports, 135 affected. Send relief supplies and life jackets plus 1 more to"
SLM-000113,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. rescue emergencies and flooding plus 1 more in ZONE-2 Kodagu, Karnataka; 112 affected, 5 reports. fire and rescu"
SLM-000114,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-4 Kanpur, Uttar Pradesh -- rescue emergencies and medical emergencies plus 1 more. 5 reports, 71 affecte"
SLM-000115,test,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding and medical emergencies plus 1 more, ZONE-4 Patna, Bihar. 7 reports, 90 affected. paramedic team and me"
SLM-000116,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED. flooding and rescue emergencies plus 1 more in ZONE-5 Mumbai, Maharashtra; 45 affected, 5 reports. Send NDRF f"
SLM-000117,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. rescue emergencies and road blockages plus 1 more in ZONE-2 Dhemaji, Assam; 158 affected, 7 reports. Deploy ambu"
SLM-000118,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-3 Howrah, West Bengal -- medical emergencies and rescue emergencies plus 2 more. 7 reports, 68 affected. "
SLM-000119,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: ZONE-1 Prayagraj, Uttar Pradesh -- rescue emergencies and flooding. 5 reports, 48 affected. Dispatch water pum"
SLM-000120,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-3 Muzaffarpur (Bihar): flooding and medical emergencies, 82 affected across 5 reports. Send sandbags and N"
SLM-000121,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT - ZONE-5 Bhubaneswar (Odisha): flooding and rescue emergencies, 175 affected across 9 reports. ambulance and resc"
SLM-000122,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-4 Darjeeling, West Bengal -- flooding and rescue emergencies. 5 reports, 163 affected. Dispatch life jac"
SLM-000123,validation,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-1 Darbhanga, Bihar -- flooding and rescue emergencies plus 1 more. 5 reports, 213 affected. Deploy life "
SLM-000124,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. flooding and rescue emergencies in ZONE-2 Guwahati, Assam; 47 affected, 5 reports. Send relief supplies and ambu"
SLM-000125,test,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE: ZONE-1 Alappuzha, Kerala -- flooding and rescue emergencies. 5 reports, 11 affected. water pump and drainage te"
SLM-000126,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: rescue emergencies and road blockages plus 1 more, ZONE-2 Kodagu, Karnataka. 6 reports, 131 affected. drainage t"
SLM-000127,validation,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED. flooding in ZONE-5 Prayagraj, Uttar Pradesh; 65 affected, 6 reports. Send road clearance team and water pump p"
SLM-000128,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. flooding and rescue emergencies plus 1 more in ZONE-3 Coimbatore, Tamil Nadu; 220 affected, 7 reports. Send r"
SLM-000129,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-2 Dhemaji, Assam -- rescue emergencies and flooding plus 1 more. 6 reports, 137 affected. fire and rescu"
SLM-000130,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: flooding and rescue emergencies plus 1 more, ZONE-3 Kozhikode, Kerala. 8 reports, 108 affected. Dispatch resc"
SLM-000131,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: road blockages and flooding plus 1 more, ZONE-1 Kendrapara, Odisha. 7 reports, 99 affected. Dispatch rescue boat"
SLM-000132,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-3 Bhubaneswar, Odisha -- flooding and medical emergencies. 7 reports, 163 affected. Send ambulance and r"
SLM-000133,test,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-4 Thrissur, Kerala -- medical emergencies and road blockages plus 1 more. 5 reports, 217 affected. Deplo"
SLM-000134,validation,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: flooding and rescue emergencies plus 2 more, ZONE-5 Tiruppur, Tamil Nadu. 5 reports, 33 affected. Dispatch lif"
SLM-000135,validation,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: rescue emergencies and flooding, ZONE-2 Darbhanga, Bihar. 5 reports, 101 affected. rescue rope and ladder and fi"
SLM-000136,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-2 Kanpur, Uttar Pradesh -- flooding. 5 reports, 59 affected. relief supplies and life jackets plus 1 more t"
SLM-000137,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE - ZONE-3 Tiruppur (Tamil Nadu): flooding and road blockages plus 1 more, 68 affected across 5 reports. Deploy "
SLM-000138,validation,ROUTINE,True,True,True,True,True,True,True,True,True,"ROUTINE. flooding and medical emergencies plus 1 more in ZONE-1 Madurai, Tamil Nadu; 17 affected, 5 reports. Send rescue"
SLM-000139,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED. rescue emergencies and flooding plus 2 more in ZONE-5 Bhubaneswar, Odisha; 61 affected, 6 reports. Deploy ambu"
SLM-000140,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT. flooding and road blockages plus 1 more in ZONE-2 Rajkot, Gujarat; 128 affected, 6 reports. Deploy drainage team"
