event_id,flood_event_date,timestamp,state,district,flood_severity,duration_hours,flood_history_count,population_affected,road_closures,bridge_closures,cause
FLOOD000022,04-04-2025,04-04-2025 17:00,Tamil Nadu,Thanjavur,Moderate,3.2,3,1158.0,1,0.0,River Overflow
FLOOD000023,13-07-2025,13-07-2025 08:00,Odisha,Puri,Severe,2.0,2,2318.0,1,0.0,River Overflow
FLOOD000024,31-01-2026,31-01-2026 05:00,Karnataka,Mysuru,Severe,3.1,3,1747.0,1,2.0,Heavy Rainfall
FLOOD000025,26-07-2025,26-07-2025 03:00,Uttar Pradesh,Kanpur,Severe,6.4,6,2233.0,2,2.0,Heavy Rainfall
FLOOD000026,18-02-2026,18-02-2026 08:00,Odisha,Balasore,Severe,2.0,2,3971.0,2,0.0,Cyclonic Rain
FLOOD000027,23-03-2025,23-03-2025 19:00,Maharashtra,Pune,Severe,7.9,6,2807.0,3,0.0,Heavy Rainfall
FLOOD000028,10-12-2025,10-12-2025 11:00,Maharashtra,Mumbai,Severe,4.5,6,2785.0,2,0.0,River Overflow
FLOOD000029,02-10-2025,02-10-2025 14:00,Odisha,Cuttack,Severe,2.0,1,2994.0,5,0.0,Heavy Rainfall
FLOOD000030,04-01-2026,04-01-2026 15:00,Uttar Pradesh,Gorakhpur,Moderate,11.1,8,900.0,0,2.0,River Overflow
FLOOD000031,14-01-2025,14-01-2025 09:00,Odisha,Kendrapara,Severe,2.0,1,3638.0,1,0.0,River Overflow
FLOOD000032,22-04-2025,22-04-2025 14:00,Bihar,Gaya,Severe,7.4,6,1582.0,3,0.0,Heavy Rainfall
FLOOD000033,12-07-2025,12-07-2025 17:00,Assam,Guwahati,Severe,8.8,7,2446.0,0,0.0,Heavy Rainfall
FLOOD000034,26-07-2025,26-07-2025 05:00,Maharashtra,Nagpur,Severe,6.5,5,2608.0,3,1.0,Heavy Rainfall
FLOOD000035,14-12-2025,14-12-2025 00:00,West Bengal,Kolkata,Moderate,4.2,6,832.0,1,1.0,River Overflow
FLOOD000036,20-05-2025,20-05-2025 01:00,Uttar Pradesh,Lucknow,Minor,2.0,2,1335.0,1,0.0,River Overflow
FLOOD000037,21-08-2025,21-08-2025 21:00,Karnataka,Mysuru,Severe,3.0,1,2612.0,1,0.0,Heavy Rainfall
FLOOD000038,11-01-2025,11-01-2025 11:00,Maharashtra,Nashik,Severe,6.7,6,2423.0,2,0.0,River Overflow
FLOOD000039,15-06-2025,15-06-2025 13:00,Gujarat,Vadodara,Severe,4.6,4,2299.0,1,0.0,River Overflow
FLOOD000040,04-10-2025,04-10-2025 06:00,Assam,Dibrugarh,Severe,5.0,5,3010.0,1,0.0,Heavy Rainfall
FLOOD000041,20-08-2025,20-08-2025 03:00,Kerala,Kochi,Moderate,2.5,3,1674.0,1,0.0,Cyclonic Rain
FLOOD000042,02-01-2025,02-01-2025 11:00,Assam,Dibrugarh,Moderate,4.9,5,1316.0,2,0.0,River Overflow
FLOOD000043,15-12-2025,15-12-2025 10:00,Kerala,Thrissur,Moderate,3.0,3,1102.0,0,1.0,Heavy Rainfall
FLOOD000044,05-03-2025,05-03-2025 01:00,Gujarat,Rajkot,Moderate,3.7,5,0.0,0,0.0,Urban Waterlogging
FLOOD000045,24-01-2026,24-01-2026 05:00,Bihar,Darbhanga,Severe,2.5,2,2159.0,0,0.0,Cyclonic Rain
FLOOD000046,02-01-2025,02-01-2025 15:00,Maharashtra,Mumbai,Moderate,5.2,3,1561.0,1,0.0,Heavy Rainfall
FLOOD000047,20-07-2025,20-07-2025 19:00,West Bengal,Kolkata,Moderate,4.9,2,1097.0,1,1.0,Cyclonic Rain
FLOOD000048,25-05-2025,25-05-2025 09:00,Kerala,Thrissur,Severe,5.5,3,2199.0,2,0.0,River Overflow
FLOOD000049,15-03-2025,15-03-2025 08:00,Uttar Pradesh,Prayagraj,Severe,3.5,3,987.0,3,0.0,Urban Waterlogging
FLOOD000050,07-04-2025,07-04-2025 00:00,Karnataka,Bengaluru,Severe,4.5,4,2258.0,2,1.0,Heavy Rainfall
FLOOD000051,05-06-2025,05-06-2025 03:00,Uttar Pradesh,Lucknow,Severe,3.4,4,1248.0,0,0.0,River Overflow
FLOOD000052,12-12-2025,12-12-2025 04:00,West Bengal,Malda,Severe,9.2,8,1720.0,2,0.0,River Overflow
FLOOD000053,28-07-2025,28-07-2025 01:00,Odisha,Cuttack,Severe,2.0,0,3313.0,0,0.0,Heavy Rainfall
FLOOD000054,05-12-2025,05-12-2025 15:00,Odisha,Kendrapara,Severe,9.1,8,2652.0,4,2.5,Heavy Rainfall
FLOOD000055,07-05-2025,07-05-2025 08:00,Bihar,Bhagalpur,Moderate,3.6,4,2082.0,1,0.0,River Overflow
FLOOD000056,27-11-2025,27-11-2025 18:00,West Bengal,Howrah,Severe,4.9,4,2430.0,1,2.0,River Overflow
FLOOD000057,07-05-2025,07-05-2025 15:00,Karnataka,Udupi,Moderate,9.0,7,1011.0,0,1.0,Cyclonic Rain
FLOOD000058,07-02-2026,07-02-2026 07:00,Tamil Nadu,Chennai,Severe,8.8,8,2085.0,3,2.0,Heavy Rainfall
FLOOD000059,17-04-2025,17-04-2025 01:00,Uttar Pradesh,Varanasi,Severe,3.3,4,3181.0,0,1.0,Cyclonic Rain
FLOOD000060,19-04-2025,19-04-2025 00:00,Gujarat,Vadodara,Severe,4.6,4,2331.0,3,1.0,River Overflow
FLOOD000061,19-02-2025,19-02-2025 12:00,Odisha,Balasore,Moderate,4.1,4,1981.0,1,1.0,Heavy Rainfall
FLOOD000062,28-11-2025,28-11-2025 22:00,Maharashtra,Nagpur,Moderate,4.0,3,1441.0,0,0.0,Heavy Rainfall
FLOOD000063,11-09-2025,11-09-2025 05:00,Gujarat,Ahmedabad,Severe,3.9,2,2184.0,1,0.0,River Overflow
FLOOD000064,05-01-2025,05-01-2025 11:00,Bihar,Bhagalpur,Severe,4.8,4,2038.0,0,0.0,River Overflow
FLOOD000065,24-02-2025,24-02-2025 19:00,Odisha,Bhubaneswar,Severe,5.9,7,2449.0,1,2.0,Urban Waterlogging
FLOOD000066,08-12-2025,08-12-2025 03:00,Odisha,Balasore,Severe,2.0,1,2787.0,1,0.0,Heavy Rainfall
FLOOD000067,25-04-2025,25-04-2025 17:00,West Bengal,Darjeeling,Moderate,4.3,5,1963.0,2,1.0,Heavy Rainfall
FLOOD000068,11-02-2026,11-02-2026 09:00,West Bengal,Darjeeling,Severe,4.7,3,4592.375,2,1.0,River Overflow
FLOOD000069,17-09-2025,17-09-2025 15:00,Kerala,Kozhikode,Severe,5.8,5,2066.0,2,1.0,Heavy Rainfall
FLOOD000070,30-04-2025,30-04-2025 20:00,Karnataka,Udupi,Severe,12.5,8,2229.0,1,1.0,Cyclonic Rain
FLOOD000071,10-08-2025,10-08-2025 19:00,West Bengal,Murshidabad,Severe,5.9,4,3068.0,2,0.0,River Overflow
FLOOD000072,03-02-2025,03-02-2025 07:00,Uttar Pradesh,Kanpur,Severe,2.6,2,1569.0,2,0.0,Heavy Rainfall
FLOOD000073,29-05-2025,29-05-2025 18:00,Uttar Pradesh,Lucknow,Severe,2.5,3,4485.0,5,2.0,River Overflow
FLOOD000074,01-05-2025,01-05-2025 14:00,Bihar,Darbhanga,Severe,4.1,4,1561.0,1,0.0,Heavy Rainfall
FLOOD000075,02-05-2025,02-05-2025 23:00,Assam,Guwahati,Severe,2.0,1,2395.0,1,0.0,Heavy Rainfall
FLOOD000076,07-12-2025,07-12-2025 18:00,Uttar Pradesh,Varanasi,Severe,2.7,3,2157.0,1,1.0,Heavy Rainfall
FLOOD000077,10-02-2025,10-02-2025 11:00,Tamil Nadu,Madurai,Severe,4.7,3,1213.0,1,1.0,River Overflow
FLOOD000078,06-10-2025,06-10-2025 15:00,Bihar,Gaya,Severe,6.4,5,2939.0,0,0.0,Urban Waterlogging
FLOOD000079,24-12-2025,24-12-2025 07:00,Maharashtra,Mumbai,Severe,5.7,5,2285.0,1,0.0,Cyclonic Rain
FLOOD000080,26-03-2025,26-03-2025 04:00,Bihar,Bhagalpur,Moderate,5.6,4,1744.0,1,0.0,Heavy Rainfall
FLOOD000081,13-01-2026,13-01-2026 06:00,Odisha,Bhubaneswar,Severe,8.5,8,3052.0,2,1.0,Urban Waterlogging
FLOOD000082,09-02-2025,09-02-2025 16:00,Bihar,Patna,Severe,3.7,3,3161.0,0,0.0,Urban Waterlogging
FLOOD000083,12-08-2025,12-08-2025 07:00,Kerala,Kottayam,Moderate,8.6,8,1331.0,2,1.0,Heavy Rainfall
FLOOD000084,10-06-2025,10-06-2025 17:00,Assam,Guwahati,Moderate,9.7,8,2242.0,0,0.0,Urban Waterlogging
FLOOD000085,02-09-2025,02-09-2025 05:00,Uttar Pradesh,Varanasi,Severe,4.4,5,2166.0,2,0.0,Urban Waterlogging
FLOOD000086,12-05-2025,12-05-2025 01:00,Maharashtra,Nashik,Severe,4.2,4,3060.0,3,0.0,River Overflow
FLOOD000087,18-05-2025,18-05-2025 17:00,Tamil Nadu,Chennai,Severe,8.8,6,1747.0,4,0.0,River Overflow
FLOOD000088,06-05-2025,06-05-2025 06:00,Maharashtra,Nagpur,Severe,4.9,2,2871.0,5,0.0,Heavy Rainfall
FLOOD000089,11-01-2026,11-01-2026 01:00,Karnataka,Udupi,Moderate,3.5,3,1714.0,1,1.0,Heavy Rainfall
FLOOD000090,20-11-2025,20-11-2025 18:00,West Bengal,Murshidabad,Severe,9.0,8,1101.0,0,1.0,River Overflow
FLOOD000091,06-11-2025,06-11-2025 22:00,West Bengal,Murshidabad,Minor,9.7,6,1598.0,0,0.0,Cyclonic Rain
FLOOD000092,27-11-2025,27-11-2025 22:00,Assam,Barpeta,Severe,9.9,8,2533.0,0,2.5,Cyclonic Rain
FLOOD000093,20-01-2026,20-01-2026 22:00,Kerala,Kochi,Severe,2.0,1,2043.0,2,1.0,Heavy Rainfall
FLOOD000094,14-02-2025,14-02-2025 00:00,Maharashtra,Nashik,Severe,2.9,5,1129.0,2,0.0,Heavy Rainfall
FLOOD000095,12-05-2025,12-05-2025 10:00,Uttar Pradesh,Varanasi,Moderate,2.0,0,1482.0,2,0.0,Heavy Rainfall
FLOOD000096,07-06-2025,07-06-2025 19:00,Karnataka,Bengaluru,Severe,11.1,7,3651.0,1,1.0,Heavy Rainfall
FLOOD000097,18-01-2026,18-01-2026 21:00,Uttar Pradesh,Gorakhpur,Severe,2.9,3,2398.0,3,0.0,Heavy Rainfall
FLOOD000098,23-11-2025,23-11-2025 01:00,Assam,Jorhat,Moderate,7.5,4,1483.0,1,0.0,Heavy Rainfall
FLOOD000099,11-11-2025,11-11-2025 03:00,West Bengal,Murshidabad,Severe,4.4,4,1646.0,3,1.0,Cyclonic Rain
FLOOD000100,29-10-2025,29-10-2025 07:00,Maharashtra,Mumbai,Moderate,2.0,1,2198.0,0,1.0,Urban Waterlogging
FLOOD000101,01-02-2025,01-02-2025 20:00,Gujarat,Bharuch,Moderate,4.1,3,1680.0,1,0.0,River Overflow
FLOOD000102,29-07-2025,29-07-2025 03:00,Kerala,Kochi,Moderate,4.0,5,1905.0,0,0.0,Heavy Rainfall
FLOOD000103,24-07-2025,24-07-2025 07:00,Bihar,Darbhanga,Severe,6.7,6,3168.0,0,1.0,River Overflow
FLOOD000104,04-12-2025,04-12-2025 05:00,Bihar,Patna,Severe,2.5,3,1418.0,0,1.0,Urban Waterlogging
FLOOD000105,13-10-2025,13-10-2025 03:00,Karnataka,Udupi,Severe,5.1,3,3175.0,0,0.0,Cyclonic Rain
FLOOD000106,01-04-2025,01-04-2025 05:00,Kerala,Kottayam,Severe,2.0,0,877.0,0,1.0,River Overflow
FLOOD000107,19-03-2025,19-03-2025 14:00,Karnataka,Bengaluru,Severe,6.5,6,1506.0,1,0.0,Heavy Rainfall
FLOOD000108,24-11-2025,24-11-2025 02:00,Odisha,Puri,Severe,4.9,4,2050.0,3,0.0,Heavy Rainfall
FLOOD000109,16-01-2026,16-01-2026 03:00,Gujarat,Surat,Severe,9.1,4,3218.0,0,1.0,River Overflow
FLOOD000110,08-04-2025,08-04-2025 12:00,Assam,Dhemaji,Severe,5.9,4,3207.0,2,2.5,Heavy Rainfall
FLOOD000111,19-08-2025,19-08-2025 07:00,Kerala,Kozhikode,Severe,6.9,5,2172.0,0,2.5,Cyclonic Rain
FLOOD000112,08-10-2025,08-10-2025 23:00,Tamil Nadu,Thanjavur,Moderate,5.2,5,651.0,0,0.0,River Overflow
FLOOD000113,16-06-2025,16-06-2025 19:00,Kerala,Thrissur,Severe,7.0,6,1797.0,1,0.0,River Overflow
FLOOD000114,16-02-2025,16-02-2025 19:00,Karnataka,Mysuru,Severe,5.4,5,1908.0,0,0.0,Heavy Rainfall
FLOOD000115,29-12-2025,29-12-2025 21:00,Assam,Guwahati,Severe,7.4,5,1885.0,1,1.0,Cyclonic Rain
FLOOD000116,18-06-2025,18-06-2025 17:00,Maharashtra,Nagpur,Severe,2.0,1,4481.0,2,1.0,Heavy Rainfall
FLOOD000117,15-11-2025,15-11-2025 08:00,Uttar Pradesh,Gorakhpur,Moderate,6.7,6,2594.0,1,0.0,River Overflow
FLOOD000118,01-02-2025,01-02-2025 21:00,Uttar Pradesh,Gorakhpur,Severe,4.5,4,2617.0,1,1.0,Urban Waterlogging
FLOOD000119,08-04-2025,08-04-2025 16:00,Odisha,Kendrapara,Severe,3.1,5,2770.0,0,0.0,River Overflow
FLOOD000120,19-06-2025,19-06-2025 15:00,Karnataka,Udupi,Severe,4.5,3,1995.0,2,0.0,River Overflow
FLOOD000121,28-10-2025,28-10-2025 16:00,Kerala,Kozhikode,Severe,9.1,8,2344.0,2,0.0,Heavy Rainfall
FLOOD000122,25-06-2025,25-06-2025 16:00,Tamil Nadu,Tiruppur,Minor,8.5,7,576.0,0,0.0,Heavy Rainfall
FLOOD000123,28-11-2025,28-11-2025 08:00,Maharashtra,Mumbai,Severe,4.6,3,3414.0,1,0.0,Heavy Rainfall
FLOOD000124,06-09-2025,06-09-2025 18:00,Tamil Nadu,Tiruppur,Moderate,10.5,7,1719.0,0,1.0,River Overflow
FLOOD000125,20-05-2025,20-05-2025 14:00,Kerala,Kochi,Moderate,2.0,1,1814.0,0,0.0,Urban Waterlogging
FLOOD000126,15-07-2025,15-07-2025 15:00,Karnataka,Bengaluru,Severe,3.2,3,2275.0,1,1.0,Heavy Rainfall
FLOOD000127,22-05-2025,22-05-2025 15:00,Maharashtra,Pune,Severe,7.1,4,1802.0,0,2.0,Heavy Rainfall
FLOOD000128,20-06-2025,20-06-2025 01:00,Bihar,Bhagalpur,Moderate,2.0,1,1376.0,2,0.0,River Overflow
FLOOD000129,17-01-2026,17-01-2026 05:00,Assam,Guwahati,Moderate,3.2,2,1556.0,1,0.0,Heavy Rainfall
FLOOD000130,21-02-2025,21-02-2025 00:00,Assam,Barpeta,Moderate,2.0,2,2168.0,1,0.0,River Overflow
FLOOD000131,20-09-2025,20-09-2025 04:00,Odisha,Cuttack,Severe,2.0,0,1431.0,1,1.0,Heavy Rainfall
FLOOD000132,11-05-2025,11-05-2025 02:00,Tamil Nadu,Thanjavur,Moderate,2.0,1,925.0,0,2.0,River Overflow
FLOOD000133,22-01-2025,22-01-2025 06:00,Karnataka,Mangaluru,Severe,2.0,1,1968.0,1,0.0,River Overflow
FLOOD000134,30-08-2025,30-08-2025 10:00,West Bengal,Howrah,Severe,2.0,3,3133.0,3,2.0,Cyclonic Rain
FLOOD000135,07-12-2025,07-12-2025 21:00,Gujarat,Surat,Severe,5.3,6,1813.0,0,0.0,Heavy Rainfall
FLOOD000136,28-01-2026,28-01-2026 09:00,Kerala,Kozhikode,Severe,7.8,6,1934.0,2,1.0,Heavy Rainfall
FLOOD000137,05-01-2025,05-01-2025 00:00,Uttar Pradesh,Varanasi,Moderate,4.0,4,1264.0,0,0.0,Cyclonic Rain
FLOOD000138,06-10-2025,06-10-2025 09:00,West Bengal,Murshidabad,Severe,2.3,3,3333.0,3,1.0,River Overflow
FLOOD000139,05-03-2025,05-03-2025 00:00,West Bengal,Murshidabad,Severe,8.2,5,2035.0,2,0.0,Heavy Rainfall
FLOOD000140,02-01-2026,02-01-2026 07:00,Gujarat,Surat,Severe,7.9,5,2338.0,3,1.0,Heavy Rainfall
FLOOD000141,05-01-2025,05-01-2025 23:00,Uttar Pradesh,Varanasi,Severe,4.0,4,2126.0,0,2.5,Heavy Rainfall
FLOOD000142,21-11-2025,21-11-2025 15:00,West Bengal,Howrah,Severe,7.6,5,2331.0,2,1.0,Cyclonic Rain
FLOOD000143,29-09-2025,29-09-2025 13:00,Bihar,Gaya,Severe,7.1,6,1075.0,0,1.0,Heavy Rainfall
FLOOD000144,02-01-2025,02-01-2025 09:00,Karnataka,Bengaluru,Severe,7.8,5,2379.0,2,1.0,Heavy Rainfall
FLOOD000145,25-11-2025,25-11-2025 15:00,Kerala,Alappuzha,Moderate,10.2,6,1077.0,0,1.0,River Overflow
FLOOD000146,12-10-2025,12-10-2025 14:00,Bihar,Gaya,Moderate,6.7,5,1712.0,2,0.0,Heavy Rainfall
FLOOD000147,14-08-2025,14-08-2025 21:00,Kerala,Kottayam,Severe,4.0,3,2966.0,1,0.0,Heavy Rainfall
FLOOD000148,14-02-2025,14-02-2025 12:00,Tamil Nadu,Chennai,Severe,5.7,5,1898.0,1,0.0,Heavy Rainfall
FLOOD000149,26-02-2025,26-02-2025 03:00,Odisha,Kendrapara,Severe,4.7,4,2286.0,1,0.0,Heavy Rainfall
FLOOD000150,17-07-2025,17-07-2025 19:00,Bihar,Darbhanga,Severe,6.6,4,2300.0,1,0.0,Heavy Rainfall
FLOOD000151,08-09-2025,08-09-2025 05:00,Tamil Nadu,Thanjavur,Severe,2.9,4,1651.0,2,0.0,River Overflow
FLOOD000152,09-09-2025,09-09-2025 15:00,Maharashtra,Mumbai,Severe,5.4,4,3161.0,1,0.0,Heavy Rainfall
FLOOD000153,09-06-2025,09-06-2025 01:00,West Bengal,Darjeeling,Severe,3.0,4,3097.0,1,1.0,Heavy Rainfall
FLOOD000154,18-12-2025,18-12-2025 22:00,Maharashtra,Nashik,Severe,3.0,4,2226.0,1,1.0,Heavy Rainfall
FLOOD000155,08-08-2025,08-08-2025 13:00,Tamil Nadu,Coimbatore,Severe,5.1,5,2955.0,2,2.0,Heavy Rainfall
FLOOD000156,15-10-2025,15-10-2025 09:00,Assam,Dhemaji,Severe,3.7,4,783.0,0,1.0,Heavy Rainfall
FLOOD000157,10-08-2025,10-08-2025 05:00,Maharashtra,Mumbai,Moderate,9.3,6,1521.0,1,1.0,River Overflow
FLOOD000158,02-01-2025,02-01-2025 07:00,Karnataka,Mysuru,Minor,2.0,2,1079.0,0,0.0,River Overflow
FLOOD000159,25-08-2025,25-08-2025 10:00,Uttar Pradesh,Gorakhpur,Moderate,2.2,2,2144.0,1,0.0,Heavy Rainfall
FLOOD000160,02-07-2025,02-07-2025 18:00,Gujarat,Surat,Severe,4.2,4,2796.0,1,1.0,Heavy Rainfall
FLOOD000161,02-01-2025,02-01-2025 05:00,Maharashtra,Kolhapur,Severe,5.3,4,2395.0,1,2.5,Heavy Rainfall
FLOOD000162,25-06-2025,25-06-2025 02:00,Gujarat,Ahmedabad,Severe,10.3,8,3342.0,0,1.0,River Overflow
FLOOD000163,09-11-2025,09-11-2025 19:00,Odisha,Kendrapara,Severe,8.6,5,2366.0,4,0.0,Heavy Rainfall
FLOOD000164,31-01-2025,31-01-2025 15:00,Odisha,Puri,Severe,4.6,4,1299.0,2,2.0,Heavy Rainfall
FLOOD000165,28-03-2025,28-03-2025 03:00,Assam,Jorhat,Severe,6.1,6,2609.0,4,2.0,River Overflow
FLOOD000166,05-01-2025,05-01-2025 10:00,Karnataka,Kodagu,Severe,3.9,3,3113.0,3,0.0,River Overflow
FLOOD000167,06-02-2026,06-02-2026 20:00,Odisha,Cuttack,Severe,6.2,4,1431.0,2,0.0,River Overflow
FLOOD000168,06-01-2026,06-01-2026 14:00,Maharashtra,Kolhapur,Severe,7.6,4,2707.0,3,1.0,Heavy Rainfall
FLOOD000169,01-12-2025,01-12-2025 04:00,West Bengal,Murshidabad,Severe,8.7,6,3698.0,0,2.0,Heavy Rainfall
FLOOD000170,04-04-2025,04-04-2025 00:00,Kerala,Kozhikode,Moderate,2.0,2,1734.0,2,1.0,River Overflow
FLOOD000171,11-02-2025,11-02-2025 09:00,Bihar,Muzaffarpur,Moderate,4.3,4,1707.0,2,1.0,Heavy Rainfall
FLOOD000172,28-01-2026,28-01-2026 04:00,Assam,Dhemaji,Severe,4.1,2,1707.0,0,0.0,Heavy Rainfall
FLOOD000173,22-10-2025,22-10-2025 02:00,Uttar Pradesh,Gorakhpur,Severe,3.4,2,2662.0,1,0.0,Heavy Rainfall
FLOOD000174,10-10-2025,10-10-2025 21:00,Tamil Nadu,Tiruppur,Moderate,2.6,2,1277.0,4,0.0,Cyclonic Rain
FLOOD000175,16-01-2025,16-01-2025 00:00,Maharashtra,Pune,Severe,2.0,0,2175.0,0,1.0,River Overflow
FLOOD000176,13-01-2025,13-01-2025 16:00,Karnataka,Udupi,Severe,5.5,3,3193.0,3,2.5,Heavy Rainfall
FLOOD000177,20-04-2025,20-04-2025 11:00,Maharashtra,Nagpur,Severe,2.0,1,2076.0,0,0.0,Heavy Rainfall
FLOOD000178,09-01-2026,09-01-2026 13:00,Karnataka,Mangaluru,Severe,2.0,1,2534.0,1,0.0,River Overflow
FLOOD000179,08-07-2025,08-07-2025 01:00,Karnataka,Udupi,Severe,7.8,7,2125.0,1,1.0,River Overflow
FLOOD000180,04-09-2025,04-09-2025 06:00,Bihar,Darbhanga,Severe,2.0,2,2713.0,0,0.0,River Overflow
FLOOD000181,13-12-2025,13-12-2025 09:00,Uttar Pradesh,Prayagraj,Severe,5.6,6,1257.0,4,0.0,River Overflow
FLOOD000182,10-05-2025,10-05-2025 04:00,Maharashtra,Nagpur,Moderate,2.2,2,1793.0,2,0.0,Heavy Rainfall
FLOOD000183,26-08-2025,26-08-2025 15:00,Bihar,Darbhanga,Severe,5.0,4,2725.0,0,0.0,Heavy Rainfall
FLOOD000184,12-06-2025,12-06-2025 10:00,Kerala,Kottayam,Moderate,7.9,6,1685.0,1,0.0,Heavy Rainfall
FLOOD000185,15-08-2025,15-08-2025 16:00,Gujarat,Surat,Severe,4.6,3,2074.0,2,0.0,River Overflow
FLOOD000186,27-11-2025,27-11-2025 10:00,Bihar,Bhagalpur,Severe,9.8,8,1917.0,1,0.0,Heavy Rainfall
FLOOD000187,26-01-2025,26-01-2025 21:00,West Bengal,Malda,Severe,2.5,3,4583.0,5,0.0,River Overflow
FLOOD000188,29-10-2025,29-10-2025 11:00,Assam,Jorhat,Moderate,7.7,6,1384.0,0,0.0,River Overflow
FLOOD000189,15-04-2025,15-04-2025 02:00,Karnataka,Kodagu,Severe,5.8,3,2256.0,1,0.0,Heavy Rainfall
FLOOD000190,30-01-2025,30-01-2025 17:00,Bihar,Muzaffarpur,Moderate,2.9,3,2060.0,1,0.0,River Overflow
FLOOD000191,17-12-2025,17-12-2025 03:00,West Bengal,Kolkata,Severe,4.0,3,1999.0,0,1.0,Heavy Rainfall
FLOOD000192,29-04-2025,29-04-2025 23:00,Bihar,Patna,Severe,9.2,8,2321.0,0,0.0,Heavy Rainfall
FLOOD000193,27-06-2025,27-06-2025 21:00,Tamil Nadu,Tiruppur,Severe,3.0,3,2504.0,1,0.0,Heavy Rainfall
FLOOD000194,02-05-2025,02-05-2025 04:00,Tamil Nadu,Madurai,Severe,3.7,4,2914.0,3,1.0,Heavy Rainfall
FLOOD000195,03-12-2025,03-12-2025 16:00,West Bengal,Darjeeling,Severe,2.0,2,1706.0,1,1.0,Cyclonic Rain
FLOOD000196,08-07-2025,08-07-2025 04:00,West Bengal,Howrah,Severe,2.0,2,1381.0,4,0.0,Heavy Rainfall
FLOOD000197,22-02-2025,22-02-2025 13:00,Uttar Pradesh,Varanasi,Severe,3.4,4,2120.0,0,2.0,River Overflow
FLOOD000198,12-05-2025,12-05-2025 16:00,Kerala,Kochi,Severe,3.7,2,2198.0,0,0.0,Heavy Rainfall
FLOOD000199,10-02-2025,10-02-2025 10:00,Gujarat,Bharuch,Severe,4.7,4,2944.0,2,0.0,River Overflow
FLOOD000200,13-06-2025,13-06-2025 00:00,Kerala,Kochi,Severe,6.4,5,2870.0,2,0.0,Heavy Rainfall
FLOOD000201,05-08-2025,05-08-2025 14:00,West Bengal,Howrah,Moderate,2.1,2,1449.0,1,0.0,Heavy Rainfall
FLOOD000202,04-01-2026,04-01-2026 14:00,Kerala,Alappuzha,Moderate,4.6,1,920.0,0,0.0,Urban Waterlogging
FLOOD000203,11-01-2025,11-01-2025 19:00,Kerala,Alappuzha,Severe,2.0,1,2819.0,2,0.0,River Overflow
