term,category,shorthand,expansion,definition,example_usage,origin
industrial area,Location type,LOC-IA,Industrial Area,"Location descriptor used in incident reports; appears 4,099 times in the Stage 03 corpus.",Flooding reported near the industrial area.,derived from Stage 03 corpus
riverside settlement,Location type,LOC-RS,Riverside Settlement,"Location descriptor used in incident reports; appears 4,098 times in the Stage 03 corpus.",Flooding reported near the riverside settlement.,derived from Stage 03 corpus
railway crossing,Location type,LOC-RC,Railway Crossing,"Location descriptor used in incident reports; appears 4,046 times in the Stage 03 corpus.",Flooding reported near the railway crossing.,derived from Stage 03 corpus
bus stand,Location type,LOC-BS,Bus Stand,"Location descriptor used in incident reports; appears 4,023 times in the Stage 03 corpus.",Flooding reported near the bus stand.,derived from Stage 03 corpus
hilly terrain,Location type,LOC-HT,Hilly Terrain,"Location descriptor used in incident reports; appears 4,007 times in the Stage 03 corpus.",Flooding reported near the hilly terrain.,derived from Stage 03 corpus
national highway,Location type,LOC-NH,National Highway,"Location descriptor used in incident reports; appears 4,005 times in the Stage 03 corpus.",Flooding reported near the national highway.,derived from Stage 03 corpus
government hospital,Location type,LOC-GH,Government Hospital,"Location descriptor used in incident reports; appears 4,003 times in the Stage 03 corpus.",Flooding reported near the government hospital.,derived from Stage 03 corpus
local market,Location type,LOC-LM,Local Market,"Location descriptor used in incident reports; appears 4,001 times in the Stage 03 corpus.",Flooding reported near the local market.,derived from Stage 03 corpus
village school,Location type,LOC-VS,Village School,"Location descriptor used in incident reports; appears 3,992 times in the Stage 03 corpus.",Flooding reported near the village school.,derived from Stage 03 corpus
main bridge,Location type,LOC-MB,Main Bridge,"Location descriptor used in incident reports; appears 3,982 times in the Stage 03 corpus.",Flooding reported near the main bridge.,derived from Stage 03 corpus
river bank,Location type,LOC-RB,River Bank,"Location descriptor used in incident reports; appears 3,971 times in the Stage 03 corpus.",Flooding reported near the river bank.,derived from Stage 03 corpus
old town area,Location type,LOC-OTA,Old Town Area,"Location descriptor used in incident reports; appears 3,967 times in the Stage 03 corpus.",Flooding reported near the old town area.,derived from Stage 03 corpus
residential colony,Location type,LOC-RC,Residential Colony,"Location descriptor used in incident reports; appears 3,942 times in the Stage 03 corpus.",Flooding reported near the residential colony.,derived from Stage 03 corpus
low-lying area,Location type,LOC-LLA,Low-Lying Area,"Location descriptor used in incident reports; appears 3,941 times in the Stage 03 corpus.",Flooding reported near the low-lying area.,derived from Stage 03 corpus
highway junction,Location type,LOC-HJ,Highway Junction,"Location descriptor used in incident reports; appears 3,923 times in the Stage 03 corpus.",Flooding reported near the highway junction.,derived from Stage 03 corpus
Flood,Hazard type,HZ-F,Flood,Hazard classification assigned to an incident by the Stage 03 pipeline.,Hazard type: Flood.,derived from Stage 03 corpus
Medical Emergency,Hazard type,HZ-ME,Medical Emergency,Hazard classification assigned to an incident by the Stage 03 pipeline.,Hazard type: Medical Emergency.,derived from Stage 03 corpus
Rescue Emergency,Hazard type,HZ-RE,Rescue Emergency,Hazard classification assigned to an incident by the Stage 03 pipeline.,Hazard type: Rescue Emergency.,derived from Stage 03 corpus
Road Blockage,Hazard type,HZ-RB,Road Blockage,Hazard classification assigned to an incident by the Stage 03 pipeline.,Hazard type: Road Blockage.,derived from Stage 03 corpus
LOW,Severity level,SEV-L,Low,Incident severity. Maps to briefing priority 'ROUTINE' in the Stage 04 summary format.,ROUTINE: low severity incident.,project-defined (Stage 03 label space)
MEDIUM,Severity level,SEV-M,Medium,Incident severity. Maps to briefing priority 'ELEVATED' in the Stage 04 summary format.,ELEVATED: medium severity incident.,project-defined (Stage 03 label space)
HIGH,Severity level,SEV-H,High,Incident severity. Maps to briefing priority 'URGENT' in the Stage 04 summary format.,URGENT: high severity incident.,project-defined (Stage 03 label space)
CRITICAL,Severity level,SEV-C,Critical,Incident severity. Maps to briefing priority 'IMMEDIATE' in the Stage 04 summary format.,IMMEDIATE: critical severity incident.,project-defined (Stage 03 label space)
Incident Commander,Incident-command term,IC,Incident Commander,The single person accountable for overall management of an incident.,IC has authorised evacuation of the zone.,standard incident-command terminology
Staging Area,Incident-command term,STAGING,Staging Area,A location where resources are held ready for assignment.,Hold the ambulance fleet at the staging area.,standard incident-command terminology
Triage,Incident-command term,TRIAGE,Triage,Sorting casualties by urgency of the treatment they need.,Begin triage at the shelter entrance.,standard incident-command terminology
Evacuation,Incident-command term,EVAC,Evacuation,Organised movement of people away from a threatened area.,EVAC under way for the residential colony.,standard incident-command terminology
Shelter-in-place,Incident-command term,SIP,Shelter-in-place,Instruction to remain indoors rather than evacuate.,Advise SIP until the water level falls.,standard incident-command terminology
Situation Report,Incident-command term,SITREP,Situation Report,A periodic summary of current conditions and actions.,Submit a SITREP every thirty minutes.,standard incident-command terminology
Estimated Time of Arrival,Incident-command term,ETA,Estimated Time of Arrival,Expected arrival time of a resource on scene.,Rescue boat ETA fifteen minutes.,standard incident-command terminology
Casualty,Incident-command term,CAS,Casualty,A person injured or killed in an incident.,Three CAS reported at the main bridge.,standard incident-command terminology
Access Route,Incident-command term,ACCESS,Access Route,A road or path usable to reach the incident.,Confirm access route before committing units.,standard incident-command terminology
Standby,Incident-command term,STANDBY,Standby,Resource is ready but not yet committed.,Place the medical team on standby.,standard incident-command terminology
National Disaster Response Force,Agency,NDRF,National Disaster Response Force,India's national specialist disaster-response force. Referenced directly in Stage 03 resource strings.,Request support from NDRF.,real agency referenced in project data
State Disaster Response Force,Agency,SDRF,State Disaster Response Force,State-level counterpart to the NDRF.,Request support from SDRF.,real agency referenced in project data
Central Water Commission,Agency,CWC,Central Water Commission,Source agency for the river-level and rainfall telemetry used in Stage 01 and Stage 02.,Request support from CWC.,real agency referenced in project data
India Meteorological Department,Agency,IMD,India Meteorological Department,Source agency for the rainfall data referenced in Stage 01.,Request support from IMD.,real agency referenced in project data
National Disaster Management Authority,Agency,NDMA,National Disaster Management Authority,Source agency for the vulnerability and impact data in Stage 01.,Request support from NDMA.,real agency referenced in project data
Emergency Response Support System,Agency,ERSS,Emergency Response Support System,The incident-ID prefix used throughout the Stage 03 dispatcher log (for example ERSS-000001).,Request support from ERSS.,real agency referenced in project data
ROUTINE,Briefing priority,P-ROUT,Routine,Opening keyword of a Stage 04 briefing. Emitted when the worst entry in the log is LOW.,ROUTINE: flooding across ZONE-3.,project-defined (Stage 04 summary format)
ELEVATED,Briefing priority,P-ELEV,Elevated,Opening keyword of a Stage 04 briefing. Emitted when the worst entry in the log is MEDIUM.,ELEVATED: flooding across ZONE-3.,project-defined (Stage 04 summary format)
URGENT,Briefing priority,P-URGE,Urgent,Opening keyword of a Stage 04 briefing. Emitted when the worst entry in the log is HIGH.,URGENT: flooding across ZONE-3.,project-defined (Stage 04 summary format)
IMMEDIATE,Briefing priority,P-IMME,Immediate,Opening keyword of a Stage 04 briefing. Emitted when the worst entry in the log is CRITICAL.,IMMEDIATE: flooding across ZONE-3.,project-defined (Stage 04 summary format)
