pair_id,true_priority,pred_priority,inaction_detected,missing_escalation,safety_fail
SLM-000306,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000321,URGENT,URGENT,False,False,False
SLM-000332,ELEVATED,IMMEDIATE,False,False,False
SLM-000334,URGENT,URGENT,False,False,False
SLM-000336,ELEVATED,ELEVATED,False,False,False
SLM-000340,ELEVATED,ELEVATED,False,False,False
SLM-000346,URGENT,ELEVATED,False,False,False
SLM-000354,ROUTINE,ELEVATED,False,False,False
SLM-000371,ELEVATED,ELEVATED,False,False,False
SLM-000382,IMMEDIATE,URGENT,False,False,False
SLM-000394,IMMEDIATE,URGENT,False,False,False
SLM-000397,ROUTINE,ELEVATED,False,False,False
SLM-000400,IMMEDIATE,ELEVATED,False,False,False
SLM-000402,IMMEDIATE,ELEVATED,False,False,False
SLM-000409,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000414,IMMEDIATE,ELEVATED,False,False,False
SLM-000426,ROUTINE,URGENT,False,False,False
SLM-000430,ELEVATED,ELEVATED,False,False,False
SLM-000437,ELEVATED,ELEVATED,False,False,False
SLM-000440,URGENT,ELEVATED,False,False,False
SLM-000461,ELEVATED,ELEVATED,False,False,False
SLM-000471,URGENT,URGENT,False,False,False
SLM-000477,URGENT,IMMEDIATE,False,False,False
SLM-000479,ELEVATED,ELEVATED,False,False,False
SLM-000497,URGENT,URGENT,False,False,False
SLM-000499,URGENT,ELEVATED,False,False,False
SLM-000500,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000501,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000511,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000517,ELEVATED,ELEVATED,False,False,False
SLM-000535,ELEVATED,ELEVATED,False,False,False
SLM-000540,ELEVATED,ELEVATED,False,False,False
SLM-000541,ELEVATED,ELEVATED,False,False,False
SLM-000545,ELEVATED,ELEVATED,False,False,False
SLM-000546,ELEVATED,ELEVATED,False,False,False
SLM-000560,URGENT,URGENT,False,False,False
SLM-000571,URGENT,URGENT,False,False,False
SLM-000589,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000593,ELEVATED,ELEVATED,False,False,False
SLM-000600,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000605,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000610,ELEVATED,ELEVATED,False,False,False
SLM-000616,ELEVATED,ELEVATED,False,False,False
SLM-000617,ELEVATED,ELEVATED,False,False,False
SLM-000621,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000625,ELEVATED,ELEVATED,False,False,False
SLM-000633,IMMEDIATE,URGENT,False,False,False
SLM-000655,URGENT,URGENT,False,False,False
SLM-000658,IMMEDIATE,URGENT,False,False,False
SLM-000661,ELEVATED,ELEVATED,False,False,False
SLM-000665,ELEVATED,ELEVATED,False,False,False
SLM-000668,ELEVATED,ELEVATED,False,False,False
SLM-000672,ROUTINE,ELEVATED,False,False,False
SLM-000679,IMMEDIATE,URGENT,False,False,False
SLM-000684,IMMEDIATE,URGENT,False,False,False
SLM-000686,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000691,IMMEDIATE,URGENT,False,False,False
SLM-000707,IMMEDIATE,URGENT,False,False,False
SLM-000728,URGENT,IMMEDIATE,False,False,False
SLM-000734,IMMEDIATE,URGENT,False,False,False
SLM-000737,URGENT,URGENT,False,False,False
SLM-000743,URGENT,ELEVATED,False,False,False
SLM-000747,URGENT,ELEVATED,False,False,False
SLM-000761,IMMEDIATE,URGENT,False,False,False
SLM-000774,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000778,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000797,URGENT,IMMEDIATE,False,False,False
SLM-000804,ELEVATED,ELEVATED,False,False,False
SLM-000806,URGENT,URGENT,False,False,False
SLM-000821,URGENT,URGENT,False,False,False
SLM-000824,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000829,ELEVATED,ELEVATED,False,False,False
SLM-000834,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000845,IMMEDIATE,URGENT,False,False,False
SLM-000848,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000849,URGENT,URGENT,False,False,False
SLM-000860,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000867,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000882,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000886,URGENT,IMMEDIATE,False,False,False
SLM-000893,ELEVATED,ELEVATED,False,False,False
SLM-000896,ELEVATED,ELEVATED,False,False,False
SLM-000899,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000905,IMMEDIATE,URGENT,False,False,False
SLM-000915,URGENT,URGENT,False,False,False
SLM-000916,ROUTINE,ELEVATED,False,False,False
SLM-000920,ROUTINE,ELEVATED,False,False,False
SLM-000932,URGENT,URGENT,False,False,False
SLM-000935,ELEVATED,ELEVATED,False,False,False
SLM-000936,URGENT,URGENT,False,False,False
SLM-000937,URGENT,URGENT,False,False,False
SLM-000948,ELEVATED,ELEVATED,False,False,False
SLM-000951,ROUTINE,ROUTINE,True,False,False
SLM-000954,IMMEDIATE,URGENT,False,False,False
SLM-000956,IMMEDIATE,URGENT,False,False,False
SLM-000961,IMMEDIATE,URGENT,False,False,False
SLM-000962,ELEVATED,ELEVATED,False,False,False
SLM-000963,ROUTINE,ELEVATED,False,False,False
SLM-000967,URGENT,URGENT,False,False,False
SLM-000993,URGENT,IMMEDIATE,False,False,False
SLM-000995,ROUTINE,ELEVATED,False,False,False
SLM-000999,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001005,ELEVATED,ELEVATED,False,False,False
SLM-001008,URGENT,ELEVATED,False,False,False
SLM-001013,ELEVATED,ELEVATED,False,False,False
SLM-001015,ELEVATED,ELEVATED,False,False,False
SLM-001020,ELEVATED,ELEVATED,False,False,False
SLM-001024,URGENT,ELEVATED,False,False,False
SLM-001034,IMMEDIATE,URGENT,False,False,False
SLM-001036,URGENT,URGENT,False,False,False
SLM-001043,ELEVATED,ELEVATED,False,False,False
SLM-001055,URGENT,URGENT,False,False,False
SLM-001056,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001059,ELEVATED,ELEVATED,False,False,False
SLM-001060,ELEVATED,ELEVATED,False,False,False
SLM-001061,URGENT,IMMEDIATE,False,False,False
SLM-001062,ELEVATED,ELEVATED,False,False,False
SLM-001066,ELEVATED,ELEVATED,False,False,False
SLM-001070,ELEVATED,ELEVATED,False,False,False
SLM-001073,ELEVATED,URGENT,False,False,False
SLM-001078,ELEVATED,ELEVATED,False,False,False
SLM-001082,ELEVATED,ELEVATED,False,False,False
SLM-001083,ELEVATED,ELEVATED,False,False,False
SLM-001085,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001096,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001097,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001099,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001103,ELEVATED,ELEVATED,False,False,False
SLM-001114,IMMEDIATE,URGENT,False,False,False
SLM-001126,URGENT,ELEVATED,False,False,False
SLM-001136,ELEVATED,ELEVATED,False,False,False
SLM-001147,URGENT,URGENT,False,False,False
SLM-001154,ROUTINE,URGENT,False,False,False
SLM-001155,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001156,URGENT,URGENT,False,False,False
SLM-001161,ELEVATED,ELEVATED,False,False,False
SLM-001176,URGENT,IMMEDIATE,False,False,False
SLM-001187,ELEVATED,ELEVATED,False,False,False
SLM-001201,ELEVATED,URGENT,False,False,False
SLM-001202,ELEVATED,ELEVATED,False,False,False
SLM-001207,URGENT,URGENT,False,False,False
SLM-001214,IMMEDIATE,URGENT,False,False,False
SLM-001217,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001219,URGENT,IMMEDIATE,False,False,False
SLM-001238,ELEVATED,ELEVATED,False,False,False
SLM-001261,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001277,ELEVATED,ELEVATED,False,False,False
SLM-001279,URGENT,ELEVATED,False,False,False
SLM-001283,ELEVATED,ELEVATED,False,False,False
SLM-001284,IMMEDIATE,ELEVATED,False,False,False
SLM-001293,ELEVATED,ELEVATED,False,False,False
SLM-001304,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001306,URGENT,URGENT,False,False,False
SLM-001313,IMMEDIATE,ELEVATED,False,False,False
SLM-001314,URGENT,URGENT,False,False,False
SLM-001317,URGENT,URGENT,False,False,False
SLM-001332,URGENT,IMMEDIATE,False,False,False
SLM-001334,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001341,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001351,URGENT,ELEVATED,False,False,False
SLM-001353,URGENT,URGENT,False,False,False
SLM-001371,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001383,URGENT,ELEVATED,False,False,False
SLM-001397,ELEVATED,ELEVATED,False,False,False
SLM-001406,ELEVATED,ELEVATED,False,False,False
SLM-001410,ELEVATED,ELEVATED,False,False,False
SLM-001414,URGENT,URGENT,False,False,False
SLM-001430,URGENT,URGENT,False,False,False
SLM-001438,ELEVATED,ELEVATED,False,False,False
SLM-001445,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001452,URGENT,URGENT,False,False,False
SLM-001458,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001462,ELEVATED,ELEVATED,False,False,False
SLM-001469,ELEVATED,ELEVATED,False,False,False
SLM-001474,ROUTINE,ELEVATED,False,False,False
SLM-001485,ROUTINE,ELEVATED,False,False,False
SLM-001487,ELEVATED,ELEVATED,False,False,False
SLM-001500,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001509,ELEVATED,ELEVATED,False,False,False
SLM-001510,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001514,URGENT,URGENT,False,False,False
SLM-001523,ROUTINE,ELEVATED,False,False,False
SLM-001526,IMMEDIATE,URGENT,False,False,False
SLM-001529,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001551,URGENT,ELEVATED,False,False,False
SLM-001556,URGENT,URGENT,False,False,False
SLM-001559,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001560,ELEVATED,ELEVATED,False,False,False
SLM-001562,ELEVATED,ELEVATED,False,False,False
SLM-001564,URGENT,URGENT,False,False,False
SLM-001566,URGENT,ELEVATED,False,False,False
SLM-001601,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001614,URGENT,ELEVATED,False,False,False
SLM-001622,URGENT,URGENT,False,False,False
SLM-001631,IMMEDIATE,URGENT,False,False,False
SLM-001636,ELEVATED,IMMEDIATE,False,False,False
SLM-001637,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001642,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001643,URGENT,IMMEDIATE,False,False,False
SLM-001644,URGENT,IMMEDIATE,False,False,False
SLM-001649,ELEVATED,ELEVATED,False,False,False
SLM-001653,URGENT,URGENT,False,False,False
SLM-001662,IMMEDIATE,ELEVATED,False,False,False
SLM-001666,ELEVATED,ELEVATED,False,False,False
SLM-001678,ELEVATED,ELEVATED,False,False,False
SLM-001681,URGENT,URGENT,False,False,False
SLM-001685,ELEVATED,IMMEDIATE,False,False,False
SLM-001692,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001694,ELEVATED,ELEVATED,False,False,False
SLM-001698,URGENT,URGENT,False,False,False
SLM-001701,ELEVATED,URGENT,False,False,False
SLM-001709,IMMEDIATE,ELEVATED,False,False,False
SLM-001714,URGENT,URGENT,False,False,False
SLM-001723,URGENT,ELEVATED,False,False,False
SLM-001726,IMMEDIATE,URGENT,False,False,False
SLM-001730,ELEVATED,ELEVATED,False,False,False
SLM-001731,ROUTINE,ELEVATED,False,False,False
SLM-001734,URGENT,URGENT,False,False,False
SLM-001739,ELEVATED,ELEVATED,False,False,False
SLM-001741,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001758,URGENT,URGENT,False,False,False
SLM-001760,URGENT,URGENT,False,False,False
SLM-001766,URGENT,URGENT,False,False,False
SLM-001778,URGENT,URGENT,False,False,False
SLM-001779,IMMEDIATE,URGENT,False,False,False
SLM-001790,IMMEDIATE,URGENT,False,False,False
SLM-001791,ROUTINE,ELEVATED,False,False,False
SLM-001795,ELEVATED,ELEVATED,False,False,False
SLM-001800,ELEVATED,ELEVATED,False,False,False
SLM-001809,URGENT,URGENT,False,False,False
SLM-001825,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001837,URGENT,ELEVATED,False,False,False
SLM-001849,URGENT,ELEVATED,False,False,False
SLM-001850,ELEVATED,ELEVATED,False,False,False
SLM-001855,URGENT,URGENT,False,False,False
SLM-001858,ELEVATED,ELEVATED,False,False,False
SLM-001864,URGENT,IMMEDIATE,False,False,False
SLM-001867,URGENT,URGENT,False,False,False
SLM-001872,ELEVATED,ELEVATED,False,False,False
SLM-001879,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001881,ROUTINE,ELEVATED,False,False,False
SLM-001882,ROUTINE,ELEVATED,False,False,False
SLM-001889,IMMEDIATE,IMMEDIATE,False,False,False
SLM-001894,ROUTINE,ELEVATED,False,False,False
SLM-001909,ELEVATED,ELEVATED,False,False,False
SLM-001921,ELEVATED,ELEVATED,False,False,False
SLM-001936,URGENT,URGENT,False,False,False
SLM-001955,URGENT,ELEVATED,False,False,False
SLM-001968,URGENT,IMMEDIATE,False,False,False
SLM-001971,URGENT,URGENT,False,False,False
SLM-001989,ELEVATED,ELEVATED,False,False,False
SLM-002004,ROUTINE,ELEVATED,False,False,False
SLM-002006,ELEVATED,ELEVATED,False,False,False
SLM-002013,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002014,ELEVATED,ELEVATED,False,False,False
SLM-002017,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002018,IMMEDIATE,URGENT,False,False,False
SLM-002023,URGENT,IMMEDIATE,False,False,False
SLM-002026,URGENT,URGENT,False,False,False
SLM-002027,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002032,ELEVATED,ELEVATED,False,False,False
SLM-002034,URGENT,URGENT,False,False,False
SLM-002037,IMMEDIATE,URGENT,False,False,False
SLM-002040,ELEVATED,ELEVATED,False,False,False
SLM-002050,IMMEDIATE,URGENT,False,False,False
SLM-002071,URGENT,URGENT,False,False,False
SLM-002077,ELEVATED,ELEVATED,False,False,False
SLM-002082,IMMEDIATE,URGENT,False,False,False
SLM-002085,URGENT,URGENT,False,False,False
SLM-002093,IMMEDIATE,URGENT,False,False,False
SLM-002098,ROUTINE,ELEVATED,False,False,False
SLM-002101,ELEVATED,ELEVATED,False,False,False
SLM-002106,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002116,ELEVATED,ELEVATED,False,False,False
SLM-002131,URGENT,ELEVATED,False,False,False
SLM-002132,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002141,URGENT,URGENT,False,False,False
SLM-002148,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002153,ELEVATED,IMMEDIATE,False,False,False
SLM-002161,ELEVATED,ELEVATED,False,False,False
SLM-002170,URGENT,URGENT,False,False,False
SLM-002177,IMMEDIATE,URGENT,False,False,False
SLM-002186,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002189,ELEVATED,ELEVATED,False,False,False
SLM-002209,URGENT,URGENT,False,False,False
SLM-002214,URGENT,URGENT,False,False,False
SLM-002216,ELEVATED,ELEVATED,False,False,False
SLM-002221,URGENT,URGENT,False,False,False
SLM-002230,URGENT,ELEVATED,False,False,False
SLM-002243,IMMEDIATE,URGENT,False,False,False
SLM-002260,ROUTINE,ELEVATED,False,False,False
SLM-002273,ELEVATED,ELEVATED,False,False,False
SLM-002275,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002284,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002285,ROUTINE,ELEVATED,False,False,False
SLM-002286,IMMEDIATE,URGENT,False,False,False
SLM-002302,ROUTINE,ELEVATED,False,False,False
SLM-002304,ELEVATED,ELEVATED,False,False,False
SLM-002310,URGENT,URGENT,False,False,False
SLM-002312,IMMEDIATE,URGENT,False,False,False
SLM-002334,ROUTINE,ELEVATED,False,False,False
SLM-002335,ELEVATED,ELEVATED,False,False,False
SLM-002338,ELEVATED,ELEVATED,False,False,False
SLM-002344,ELEVATED,ELEVATED,False,False,False
SLM-002345,URGENT,URGENT,False,False,False
SLM-002346,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002347,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002349,IMMEDIATE,ELEVATED,False,False,False
SLM-002350,IMMEDIATE,ELEVATED,False,False,False
SLM-002353,URGENT,URGENT,False,False,False
SLM-002360,ELEVATED,ELEVATED,False,False,False
SLM-002388,ELEVATED,ELEVATED,False,False,False
SLM-002391,URGENT,IMMEDIATE,False,False,False
SLM-002394,ELEVATED,ELEVATED,False,False,False
SLM-002399,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002413,ELEVATED,ELEVATED,False,False,False
SLM-002431,URGENT,IMMEDIATE,False,False,False
SLM-002437,URGENT,URGENT,False,False,False
SLM-002447,ROUTINE,ELEVATED,False,False,False
SLM-002448,ELEVATED,ELEVATED,False,False,False
SLM-002449,ELEVATED,ELEVATED,False,False,False
SLM-002452,IMMEDIATE,URGENT,False,False,False
SLM-002473,URGENT,URGENT,False,False,False
SLM-002484,URGENT,URGENT,False,False,False
SLM-002491,URGENT,ELEVATED,False,False,False
SLM-002495,URGENT,ELEVATED,False,False,False
SLM-002502,ELEVATED,ELEVATED,False,False,False
SLM-002503,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002514,URGENT,URGENT,False,False,False
SLM-002528,ROUTINE,ROUTINE,True,False,False
SLM-002534,ROUTINE,ELEVATED,False,False,False
SLM-002541,ELEVATED,ELEVATED,False,False,False
SLM-002544,ELEVATED,ELEVATED,False,False,False
SLM-002557,URGENT,URGENT,False,False,False
SLM-002559,ROUTINE,ELEVATED,False,False,False
SLM-002585,IMMEDIATE,ELEVATED,False,False,False
SLM-002589,ELEVATED,ELEVATED,False,False,False
SLM-002605,ELEVATED,ELEVATED,False,False,False
SLM-002618,IMMEDIATE,URGENT,False,False,False
SLM-002620,URGENT,IMMEDIATE,False,False,False
SLM-002626,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002638,IMMEDIATE,ELEVATED,False,False,False
SLM-002654,URGENT,ELEVATED,False,False,False
SLM-002655,ELEVATED,ELEVATED,False,False,False
SLM-002660,URGENT,URGENT,False,False,False
SLM-002664,URGENT,URGENT,False,False,False
SLM-002669,URGENT,IMMEDIATE,False,False,False
SLM-002673,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002677,ELEVATED,ELEVATED,False,False,False
SLM-002687,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002688,URGENT,URGENT,False,False,False
SLM-002693,ELEVATED,ELEVATED,False,False,False
SLM-002700,ELEVATED,ELEVATED,False,False,False
SLM-002703,IMMEDIATE,URGENT,False,False,False
SLM-002705,IMMEDIATE,URGENT,False,False,False
SLM-002706,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002712,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002713,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002716,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002748,URGENT,IMMEDIATE,False,False,False
SLM-002756,ELEVATED,ELEVATED,False,False,False
SLM-002768,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002771,ELEVATED,ELEVATED,False,False,False
SLM-002772,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002775,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002781,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002787,URGENT,URGENT,False,False,False
SLM-002788,IMMEDIATE,URGENT,False,False,False
SLM-002790,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002794,ELEVATED,ELEVATED,False,False,False
SLM-002795,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002804,URGENT,URGENT,False,False,False
SLM-002810,ELEVATED,ELEVATED,False,False,False
SLM-002813,ELEVATED,ELEVATED,False,False,False
SLM-002823,URGENT,URGENT,False,False,False
SLM-002830,URGENT,URGENT,False,False,False
SLM-002834,URGENT,URGENT,False,False,False
SLM-002838,URGENT,URGENT,False,False,False
SLM-002844,ELEVATED,ELEVATED,False,False,False
SLM-002845,URGENT,ELEVATED,False,False,False
SLM-002847,ROUTINE,ROUTINE,True,False,False
SLM-002848,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002855,IMMEDIATE,URGENT,False,False,False
SLM-002858,URGENT,ELEVATED,False,False,False
SLM-002861,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002866,ELEVATED,ELEVATED,False,False,False
SLM-002867,ELEVATED,ELEVATED,False,False,False
SLM-002871,URGENT,ELEVATED,False,False,False
SLM-002881,URGENT,URGENT,False,False,False
SLM-002889,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002893,URGENT,URGENT,False,False,False
SLM-002897,IMMEDIATE,URGENT,False,False,False
SLM-002907,URGENT,ELEVATED,False,False,False
SLM-002910,ELEVATED,ELEVATED,False,False,False
SLM-002917,ROUTINE,ELEVATED,False,False,False
SLM-002922,ELEVATED,ELEVATED,False,False,False
SLM-002925,IMMEDIATE,URGENT,False,False,False
SLM-002928,URGENT,ELEVATED,False,False,False
SLM-002933,URGENT,URGENT,False,False,False
SLM-002948,ROUTINE,URGENT,False,False,False
SLM-002949,ROUTINE,ELEVATED,False,False,False
SLM-002952,ELEVATED,ELEVATED,False,False,False
SLM-002958,ELEVATED,URGENT,False,False,False
SLM-002959,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002968,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002973,ELEVATED,ELEVATED,False,False,False
SLM-002976,ELEVATED,ELEVATED,False,False,False
SLM-002977,URGENT,URGENT,False,False,False
SLM-002978,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002981,IMMEDIATE,URGENT,False,False,False
SLM-002985,URGENT,URGENT,False,False,False
SLM-002986,ELEVATED,ELEVATED,False,False,False
SLM-002988,IMMEDIATE,IMMEDIATE,False,False,False
SLM-002992,URGENT,URGENT,False,False,False
SLM-002995,ELEVATED,ELEVATED,False,False,False
SLM-002998,ELEVATED,ELEVATED,False,False,False
SLM-003007,URGENT,IMMEDIATE,False,False,False
SLM-003008,URGENT,IMMEDIATE,False,False,False
SLM-003010,ELEVATED,ELEVATED,False,False,False
SLM-003016,IMMEDIATE,IMMEDIATE,False,False,False
SLM-003028,ELEVATED,ELEVATED,False,False,False
SLM-003030,ELEVATED,ELEVATED,False,False,False
SLM-003035,URGENT,IMMEDIATE,False,False,False
SLM-003038,IMMEDIATE,URGENT,False,False,False
SLM-003047,URGENT,IMMEDIATE,False,False,False
SLM-003053,IMMEDIATE,URGENT,False,False,False
SLM-003057,ELEVATED,ELEVATED,False,False,False
SLM-003063,ELEVATED,ELEVATED,False,False,False
SLM-003070,ELEVATED,ELEVATED,False,False,False
SLM-003072,IMMEDIATE,URGENT,False,False,False
SLM-003077,URGENT,URGENT,False,False,False
SLM-003079,ELEVATED,ELEVATED,False,False,False
SLM-003082,URGENT,ELEVATED,False,False,False
SLM-003085,IMMEDIATE,URGENT,False,False,False
SLM-003095,ROUTINE,ELEVATED,False,False,False
SLM-003104,ELEVATED,URGENT,False,False,False
SLM-003115,URGENT,URGENT,False,False,False
SLM-003117,URGENT,IMMEDIATE,False,False,False
SLM-003134,URGENT,ELEVATED,False,False,False
SLM-003157,URGENT,URGENT,False,False,False
SLM-003168,URGENT,IMMEDIATE,False,False,False
SLM-003179,ELEVATED,ELEVATED,False,False,False
SLM-003180,URGENT,URGENT,False,False,False
SLM-003187,URGENT,URGENT,False,False,False
SLM-003188,ROUTINE,ELEVATED,False,False,False
SLM-003198,ELEVATED,ELEVATED,False,False,False
