pair_id,hallucination_rate,predicted_entities,unsupported_count,unsupported_tokens
SLM-001562,0.4286,7,3,61; conditions; 60
SLM-001564,0.4444,9,4,30; 10; 78; failure
SLM-001566,0.5,8,4,30; conditions; 68; 60
SLM-001601,0.375,8,3,full; 166; every
SLM-001614,0.5,8,4,30; conditions; 56; 60
SLM-001622,0.4444,9,4,30; 86; 15; failure
SLM-001631,0.3333,9,3,30; 115; failure
SLM-001636,0.5,6,3,full; 49; every
SLM-001637,0.4286,7,3,128; full; every
SLM-001642,0.375,8,3,206; full; every
SLM-001643,0.375,8,3,full; 72; every
SLM-001644,0.25,8,2,full; every
SLM-001649,0.375,8,3,conditions; 79; 60
SLM-001653,0.3333,9,3,178; 15; failure
SLM-001662,0.25,8,2,conditions; 121
SLM-001666,0.3333,9,3,30; 66; conditions
SLM-001678,0.4444,9,4,51; 30; conditions; 60
SLM-001681,0.3,10,3,10; failure; 98
SLM-001685,0.4286,7,3,full; 52; every
SLM-001692,0.375,8,3,full; 160; every
SLM-001694,0.5,8,4,30; conditions; 60; 36
SLM-001698,0.3333,9,3,30; 229; failure
SLM-001701,0.4,10,4,30; 10; failure; 50
SLM-001709,0.375,8,3,conditions; 130; 60
SLM-001714,0.4444,9,4,10; 180; 15; failure
SLM-001723,0.3333,9,3,conditions; 79; 60
SLM-001726,0.3333,9,3,112; 10; failure
SLM-001730,0.4286,7,3,30; conditions; 60
SLM-001731,0.5,8,4,30; conditions; 21; 60
SLM-001734,0.4444,9,4,109; 10; 15; failure
SLM-001739,0.375,8,3,58; conditions; 60
SLM-001741,0.4286,7,3,full; 193; every
SLM-001758,0.4,10,4,30; 10; 96; failure
SLM-001760,0.3333,9,3,15; 56; failure
SLM-001766,0.4444,9,4,10; 15; 121; failure
SLM-001778,0.3,10,3,30; 86; failure
SLM-001779,0.4444,9,4,10; 103; 15; failure
SLM-001790,0.2,10,2,failure; 114
SLM-001791,0.5,8,4,30; 22; conditions; 60
SLM-001795,0.5,8,4,30; conditions; 56; 60
SLM-001800,0.375,8,3,conditions; 38; 60
SLM-001809,0.4,10,4,131; 10; 15; failure
SLM-001825,0.375,8,3,full; 230; every
SLM-001837,0.375,8,3,conditions; 60; 70
SLM-001849,0.375,8,3,30; 122; conditions
SLM-001850,0.4444,9,4,30; conditions; 62; 60
SLM-001855,0.3333,9,3,30; 121; failure
SLM-001858,0.5,8,4,30; 33; conditions; 60
SLM-001864,0.375,8,3,full; 87; every
SLM-001867,0.2,10,2,failure; 144
SLM-001872,0.5,8,4,30; 49; conditions; 60
SLM-001879,0.375,8,3,136; full; every
SLM-001881,0.375,8,3,30; conditions; 60
SLM-001882,0.375,8,3,30; conditions; 60
SLM-001889,0.375,8,3,full; 173; every
SLM-001894,0.4444,9,4,30; conditions; 16; 60
SLM-001909,0.25,8,2,conditions; 50
SLM-001921,0.375,8,3,conditions; 60; 50
SLM-001936,0.5,10,5,30; 10; failure; 15; 38
SLM-001955,0.5,8,4,82; 30; conditions; 60
SLM-001968,0.375,8,3,92; full; every
SLM-001971,0.3,10,3,failure; 15; 144
SLM-001989,0.5,8,4,43; 30; conditions; 60
SLM-002004,0.3333,9,3,30; conditions; 60
SLM-002006,0.3333,9,3,67; conditions; 60
SLM-002013,0.375,8,3,full; 207; every
SLM-002014,0.25,8,2,conditions; 60
SLM-002017,0.2857,7,2,full; every
SLM-002018,0.2222,9,2,15; failure
SLM-002023,0.4286,7,3,full; 103; every
SLM-002026,0.3,10,3,30; 83; failure
SLM-002027,0.4286,7,3,full; 217; every
SLM-002032,0.4444,9,4,61; 30; conditions; 60
SLM-002034,0.3333,9,3,105; 10; failure
SLM-002037,0.3,10,3,30; 75; failure
SLM-002040,0.5,8,4,30; conditions; 60; 63
SLM-002050,0.4444,9,4,30; 205; 15; failure
SLM-002071,0.3333,9,3,30; 96; failure
SLM-002077,0.375,8,3,30; conditions; 60
SLM-002082,0.5556,9,5,30; 10; 15; 135; failure
SLM-002085,0.4444,9,4,30; 10; 15; failure
SLM-002093,0.3,10,3,30; 67; failure
SLM-002098,0.5,8,4,30; conditions; 24; 60
SLM-002101,0.375,8,3,conditions; 64; 60
SLM-002106,0.4286,7,3,full; 272; every
SLM-002116,0.5,8,4,30; conditions; 46; 60
SLM-002131,0.5,8,4,30; 90; conditions; 60
SLM-002132,0.5,6,3,full; 158; every
SLM-002141,0.5,10,5,30; 10; 57; 15; failure
SLM-002148,0.4286,7,3,full; 122; every
SLM-002153,0.4286,7,3,full; 26; every
SLM-002161,0.25,8,2,49; conditions
SLM-002170,0.4444,9,4,10; 15; 118; failure
SLM-002177,0.4,10,4,10; failure; 15; 156
SLM-002186,0.4286,7,3,full; 229; every
SLM-002189,0.3333,9,3,30; conditions; 60
SLM-002209,0.3,10,3,112; 30; failure
SLM-002214,0.3333,9,3,30; 84; failure
SLM-002216,0.5,8,4,30; conditions; 60; 36
SLM-002221,0.3,10,3,75; 15; failure
SLM-002230,0.5,8,4,82; 30; conditions; 60
SLM-002243,0.3,10,3,30; failure; 183
SLM-002260,0.25,8,2,conditions; 28
SLM-002273,0.375,8,3,30; conditions; 34
SLM-002275,0.4286,7,3,full; 238; every
SLM-002284,0.4286,7,3,full; 168; every
SLM-002285,0.125,8,1,conditions
SLM-002286,0.3,10,3,30; 15; failure
SLM-002302,0.25,8,2,conditions; 60
SLM-002304,0.5,8,4,30; 48; conditions; 60
SLM-002310,0.2222,9,2,30; failure
SLM-002312,0.3333,9,3,30; 10; failure
SLM-002334,0.375,8,3,30; conditions; 60
SLM-002335,0.375,8,3,30; conditions; 60
SLM-002338,0.375,8,3,41; conditions; 60
SLM-002344,0.375,8,3,conditions; 60; 73
SLM-002345,0.4,10,4,30; 10; failure; 15
SLM-002346,0.375,8,3,full; every; 50
SLM-002347,0.375,8,3,full; 312; every
SLM-002349,0.375,8,3,conditions; 60; 70
SLM-002350,0.375,8,3,104; conditions; 60
SLM-002353,0.4444,9,4,89; 10; 15; failure
SLM-002360,0.5,8,4,30; 35; conditions; 60
SLM-002388,0.5,8,4,30; conditions; 37; 60
SLM-002391,0.4286,7,3,full; 141; every
SLM-002394,0.25,8,2,conditions; 60
SLM-002399,0.4286,7,3,104; full; every
SLM-002413,0.5,8,4,30; 55; conditions; 60
SLM-002431,0.375,8,3,full; 32; every
SLM-002437,0.4444,9,4,30; 10; 15; failure
SLM-002447,0.3333,9,3,31; conditions; 60
SLM-002448,0.5,8,4,30; conditions; 65; 60
SLM-002449,0.4444,9,4,30; 39; conditions; 60
SLM-002452,0.3,10,3,15; 283; failure
SLM-002473,0.3333,9,3,30; 138; failure
SLM-002484,0.3333,9,3,30; 188; failure
SLM-002491,0.5,8,4,92; 30; conditions; 60
SLM-002495,0.25,8,2,conditions; 96
SLM-002502,0.5,8,4,30; conditions; 44; 60
SLM-002503,0.4286,7,3,full; 180; every
SLM-002514,0.4444,9,4,149; 30; 15; failure
SLM-002528,0.2,5,1,24
SLM-002534,0.25,8,2,conditions; 60
SLM-002541,0.5,8,4,30; conditions; 62; 60
SLM-002544,0.4444,9,4,30; conditions; 69; 60
SLM-002557,0.3333,9,3,30; 15; failure
SLM-002559,0.25,8,2,18; conditions
SLM-002585,0.5,8,4,159; 30; conditions; 60
SLM-002589,0.5,8,4,30; conditions; 39; 60
SLM-002605,0.3333,9,3,30; conditions; 60
SLM-002618,0.5,8,4,10; 222; 15; failure
SLM-002620,0.4286,7,3,full; 138; every
SLM-002626,0.4286,7,3,full; 107; every
SLM-002638,0.375,8,3,30; conditions; 154
SLM-002654,0.5,8,4,30; 55; conditions; 60
SLM-002655,0.25,8,2,conditions; 60
SLM-002660,0.4,10,4,30; 141; 15; failure
SLM-002664,0.3,10,3,30; failure; 157
SLM-002669,0.2857,7,2,full; every
SLM-002673,0.375,8,3,full; 207; every
SLM-002677,0.5,8,4,30; 53; conditions; 60
SLM-002687,0.4286,7,3,full; 188; every
SLM-002688,0.3333,9,3,15; 196; failure
SLM-002693,0.3333,9,3,30; 57; conditions
SLM-002700,0.4444,9,4,30; conditions; 78; 60
SLM-002703,0.5,10,5,30; 10; failure; 114; 15
SLM-002705,0.3333,9,3,15; 215; failure
SLM-002706,0.5,6,3,full; 96; every
SLM-002712,0.4286,7,3,full; 227; every
SLM-002713,0.5,6,3,full; 155; every
SLM-002716,0.4286,7,3,213; full; every
SLM-002748,0.4286,7,3,113; full; every
SLM-002756,0.25,8,2,conditions; 60
SLM-002768,0.4286,7,3,full; 217; every
SLM-002771,0.2222,9,2,conditions; 60
SLM-002772,0.375,8,3,full; 133; every
SLM-002775,0.2857,7,2,full; every
SLM-002781,0.4286,7,3,260; full; every
SLM-002787,0.3333,9,3,209; 15; failure
SLM-002788,0.3333,9,3,30; failure; 69
SLM-002790,0.4286,7,3,full; 187; every
SLM-002794,0.3333,9,3,66; conditions; 60
SLM-002795,0.4286,7,3,full; 236; every
SLM-002804,0.2222,9,2,139; failure
SLM-002810,0.3333,9,3,30; conditions; 60
SLM-002813,0.3333,6,2,30; conditions
SLM-002823,0.4,10,4,30; 15; 79; failure
SLM-002830,0.4444,9,4,82; 30; 15; failure
SLM-002834,0.2222,9,2,109; failure
SLM-002838,0.3333,9,3,10; 241; failure
SLM-002844,0.1429,7,1,conditions
SLM-002845,0.25,8,2,30; conditions
SLM-002847,0.0,7,0,None
SLM-002848,0.4286,7,3,full; 252; every
SLM-002855,0.4444,9,4,30; 15; failure; 218
SLM-002858,0.3333,9,3,112; conditions; 60
SLM-002861,0.4286,7,3,full; 222; every
SLM-002866,0.375,8,3,61; 30; conditions
SLM-002867,0.5,8,4,30; conditions; 44; 60
SLM-002871,0.5,8,4,30; conditions; 47; 60
SLM-002881,0.2,10,2,10; failure
SLM-002889,0.375,8,3,full; 155; every
SLM-002893,0.5556,9,5,30; 10; failure; 195; 15
SLM-002897,0.3,10,3,30; 15; failure
SLM-002907,0.5,8,4,30; conditions; 60; 73
SLM-002910,0.2222,9,2,conditions; 48
SLM-002917,0.25,8,2,conditions; 17
SLM-002922,0.375,8,3,30; conditions; 60
SLM-002925,0.4444,9,4,30; 133; 15; failure
SLM-002928,0.3333,9,3,conditions; 101; 60
SLM-002933,0.3333,9,3,206; 30; failure
SLM-002948,0.2222,9,2,15; failure
SLM-002949,0.5,8,4,30; conditions; 13; 60
SLM-002952,0.5714,7,4,41; 30; conditions; 60
SLM-002958,0.3333,9,3,30; 55; failure
SLM-002959,0.4286,7,3,full; 139; every
SLM-002968,0.4286,7,3,full; 211; every
SLM-002973,0.4444,9,4,54; 30; conditions; 60
SLM-002976,0.25,8,2,conditions; 60
SLM-002977,0.4444,9,4,10; 15; failure; 70
SLM-002978,0.375,8,3,full; 179; every
SLM-002981,0.3,10,3,30; failure; 143
SLM-002985,0.4,10,4,92; 30; 15; failure
SLM-002986,0.25,8,2,30; conditions
SLM-002988,0.4286,7,3,full; 120; every
SLM-002992,0.4444,9,4,10; 15; 121; failure
SLM-002995,0.5,8,4,51; 30; conditions; 60
SLM-002998,0.4444,9,4,51; 30; conditions; 60
SLM-003007,0.375,8,3,full; 148; every
SLM-003008,0.375,8,3,full; 203; every
SLM-003010,0.25,8,2,conditions; 60
SLM-003016,0.25,8,2,full; every
SLM-003028,0.5,8,4,30; conditions; 38; 60
SLM-003030,0.25,8,2,conditions; 60
SLM-003035,0.4286,7,3,full; 103; every
SLM-003038,0.375,8,3,323; 30; failure
SLM-003047,0.4286,7,3,full; 66; every
SLM-003053,0.5,10,5,30; 10; 212; failure; 15
SLM-003057,0.5,8,4,30; conditions; 28; 60
SLM-003063,0.3333,9,3,82; conditions; 60
SLM-003070,0.375,8,3,30; 55; conditions
SLM-003072,0.4444,9,4,357; 30; 15; failure
SLM-003077,0.3333,9,3,10; failure; 157
SLM-003079,0.375,8,3,49; conditions; 60
SLM-003082,0.5,8,4,30; 31; conditions; 60
SLM-003085,0.4444,9,4,30; 10; failure; 73
SLM-003095,0.375,8,3,30; conditions; 24
SLM-003104,0.4444,9,4,30; 10; 15; failure
SLM-003115,0.3333,9,3,116; 30; failure
SLM-003117,0.375,8,3,full; 74; every
SLM-003134,0.5,8,4,30; conditions; 72; 60
SLM-003157,0.1111,9,1,failure
SLM-003168,0.375,8,3,61; full; every
SLM-003179,0.4444,9,4,30; conditions; 60; 63
SLM-003180,0.4,10,4,104; 30; 15; failure
SLM-003187,0.3333,9,3,15; failure; 99
SLM-003188,0.25,8,2,conditions; 60
SLM-003198,0.25,8,2,54; conditions
