incident_id,timestamp,state,district,zone,call_type,text,severity,hazard_type
ERSS-000013,2025-10-23 06:53:00,Gujarat,Surat,ZONE-2,Rescue,"Rescue operation required near the main bridge in Surat, Gujarat. 7 people affected, minor injuries reported. Dispatch requested for fire and rescue unit.",MEDIUM,FLOOD
ERSS-000014,2025-03-29 05:36:00,Uttar Pradesh,Prayagraj,ZONE-4,Rescue,"Rescue operation required close to the river bank in Prayagraj, Uttar Pradesh. 16 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF rescue team.",HIGH,FLOOD
ERSS-000015,2025-11-18 07:36:00,Karnataka,Kodagu,ZONE-2,Flooding,"Flooding reported near the bus stand in Kodagu, Karnataka. 7 people affected, minor injuries reported. Dispatch requested for life jackets and water pump.",MEDIUM,FLOOD
ERSS-000016,2025-03-19 14:00:00,Karnataka,Bengaluru,ZONE-2,Flooding,"Flooding reported in a residential colony in Bengaluru, Karnataka. 3 person(s) affected, no major injuries reported. Dispatch requested for rescue boat and life jackets.",LOW,FLOOD
ERSS-000017,2025-01-25 16:51:00,Karnataka,Kodagu,ZONE-1,Waterlogging,"Waterlogging reported in a residential colony in Kodagu, Karnataka. 4 people affected, minor injuries reported. Dispatch requested for water pump.",MEDIUM,FLOOD
ERSS-000018,2025-06-05 02:25:00,Maharashtra,Pune,ZONE-3,Flooding,"Flooding reported in the old town area in Pune, Maharashtra. 2 person(s) affected, no major injuries reported. Dispatch requested for relief supplies.",LOW,FLOOD
ERSS-000019,2025-01-20 12:52:00,Karnataka,Udupi,ZONE-2,Flooding,"Flooding reported near the village school in Udupi, Karnataka. 5 people affected, minor injuries reported. Dispatch requested for water pump and NDRF flood rescue team.",MEDIUM,FLOOD
ERSS-000020,2025-08-03 23:37:00,Tamil Nadu,Thanjavur,ZONE-2,Road Blockage,"Road blockage reported at the railway crossing in Thanjavur, Tamil Nadu. 8 people affected, minor injuries reported. Dispatch requested for earthmover (JCB).",MEDIUM,FLOOD
ERSS-000021,2025-07-23 13:17:00,Kerala,Kozhikode,ZONE-3,Flooding,"Flooding reported near the government hospital in Kozhikode, Kerala. 16 people affected including elderly and children, some injuries reported. Dispatch requested for rescue boat and NDRF flood rescue team.",HIGH,FLOOD
ERSS-000022,2025-12-22 18:14:00,Odisha,Balasore,ZONE-5,Road Blockage,"Road blockage reported in the hilly terrain in Balasore, Odisha. 15 people affected including elderly and children, some injuries reported. Dispatch requested for traffic police team.",HIGH,FLOOD
ERSS-000023,2026-01-22 03:37:00,Tamil Nadu,Madurai,ZONE-5,Flooding,"Flooding reported in the low-lying area in Madurai, Tamil Nadu. 43 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for life jackets.",CRITICAL,FLOOD
ERSS-000024,2025-02-21 14:05:00,Bihar,Darbhanga,ZONE-5,Road Blockage,"Road blockage reported near the industrial area in Darbhanga, Bihar. 4 people affected, minor injuries reported. Dispatch requested for tow truck.",MEDIUM,FLOOD
ERSS-000025,2025-12-27 16:51:00,Uttar Pradesh,Gorakhpur,ZONE-2,Rescue,"Rescue operation required in the old town area in Gorakhpur, Uttar Pradesh. 14 people affected including elderly and children, some injuries reported. Dispatch requested for ambulance.",HIGH,FLOOD
ERSS-000026,2025-12-04 16:22:00,Kerala,Kochi,ZONE-4,Rescue,"Rescue operation required near the bus stand in Kochi, Kerala. 7 people affected, minor injuries reported. Dispatch requested for rescue rope and ladder.",MEDIUM,FLOOD
ERSS-000027,2025-01-05 08:08:00,Bihar,Bhagalpur,ZONE-1,Rescue,"Rescue operation required near the government hospital in Bhagalpur, Bihar. 18 people affected including elderly and children, some injuries reported. Dispatch requested for ambulance and NDRF rescue team.",HIGH,FLOOD
ERSS-000028,2025-08-25 02:07:00,Uttar Pradesh,Gorakhpur,ZONE-2,Rescue,"Rescue operation required near the village school in Gorakhpur, Uttar Pradesh. 1 person(s) affected, no major injuries reported. Dispatch requested for fire and rescue unit.",LOW,FLOOD
ERSS-000029,2025-07-20 22:57:00,Odisha,Bhubaneswar,ZONE-1,Flooding,"Flooding reported near the bus stand in Bhubaneswar, Odisha. 8 people affected, minor injuries reported. Dispatch requested for NDRF flood rescue team.",MEDIUM,FLOOD
ERSS-000030,2025-10-29 02:35:00,Karnataka,Mysuru,ZONE-2,Waterlogging,"Waterlogging reported at the highway junction in Mysuru, Karnataka. 7 people affected, minor injuries reported. Dispatch requested for road clearance team and drainage team.",MEDIUM,FLOOD
ERSS-000031,2026-02-01 20:36:00,Uttar Pradesh,Varanasi,ZONE-4,Road Blockage,"Road blockage reported in the low-lying area in Varanasi, Uttar Pradesh. 11 people affected including elderly and children, some injuries reported. Dispatch requested for road clearance crew and traffic police team.",HIGH,FLOOD
ERSS-000032,2025-01-31 14:02:00,Odisha,Kendrapara,ZONE-4,Waterlogging,"Waterlogging reported on the national highway in Kendrapara, Odisha. 20 people affected including elderly and children, some injuries reported. Dispatch requested for drainage team and water pump.",HIGH,FLOOD
ERSS-000033,2025-01-06 23:52:00,Odisha,Cuttack,ZONE-4,Rescue,"Rescue operation required near the local market in Cuttack, Odisha. 18 people affected including elderly and children, some injuries reported. Dispatch requested for rescue rope and ladder.",HIGH,FLOOD
ERSS-000034,2025-08-09 16:58:00,Odisha,Balasore,ZONE-4,Waterlogging,"Waterlogging reported on the national highway in Balasore, Odisha. 23 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for drainage team and road clearance team.",CRITICAL,FLOOD
ERSS-000035,2025-07-03 05:51:00,Odisha,Balasore,ZONE-5,Flooding,"Flooding reported in the low-lying area in Balasore, Odisha. 15 people affected including elderly and children, some injuries reported. Dispatch requested for life jackets.",HIGH,FLOOD
ERSS-000036,2025-01-13 22:31:00,Karnataka,Udupi,ZONE-3,Flooding,"Flooding reported at the highway junction in Udupi, Karnataka. 3 people affected, minor injuries reported. Dispatch requested for life jackets.",MEDIUM,FLOOD
ERSS-000037,2025-07-18 20:38:00,Gujarat,Vadodara,ZONE-1,Rescue,"Rescue operation required near the industrial area in Vadodara, Gujarat. 3 person(s) affected, no major injuries reported. Dispatch requested for NDRF rescue team and ambulance.",LOW,FLOOD
ERSS-000038,2025-05-31 13:42:00,Tamil Nadu,Coimbatore,ZONE-4,Rescue,"Rescue operation required near the main bridge in Coimbatore, Tamil Nadu. 9 people affected including elderly and children, some injuries reported. Dispatch requested for ambulance.",HIGH,FLOOD
ERSS-000039,2025-02-01 11:13:00,West Bengal,Kolkata,ZONE-4,Flooding,"Flooding reported near the bus stand in Kolkata, West Bengal. 6 people affected, minor injuries reported. Dispatch requested for NDRF flood rescue team.",MEDIUM,FLOOD
ERSS-000040,2025-04-29 04:12:00,Tamil Nadu,Madurai,ZONE-4,Flooding,"Flooding reported near the local market in Madurai, Tamil Nadu. 7 people affected, minor injuries reported. Dispatch requested for water pump and NDRF flood rescue team.",MEDIUM,FLOOD
ERSS-000041,2025-10-14 08:35:00,Kerala,Alappuzha,ZONE-1,Waterlogging,"Waterlogging reported near the government hospital in Alappuzha, Kerala. 18 people affected including elderly and children, some injuries reported. Dispatch requested for road clearance team.",HIGH,FLOOD
ERSS-000042,2025-10-12 09:51:00,Gujarat,Bharuch,ZONE-1,Flooding,"Flooding reported at the highway junction in Bharuch, Gujarat. 5 people affected, minor injuries reported. Dispatch requested for NDRF flood rescue team and life jackets.",MEDIUM,FLOOD
ERSS-000043,2025-04-29 02:43:00,Bihar,Patna,ZONE-5,Flooding,"Flooding reported near the main bridge in Patna, Bihar. 20 people affected including elderly and children, some injuries reported. Dispatch requested for life jackets.",HIGH,FLOOD
ERSS-000044,2025-02-21 11:03:00,West Bengal,Murshidabad,ZONE-2,Flooding,"Flooding reported near the government hospital in Murshidabad, West Bengal. 6 people affected, minor injuries reported. Dispatch requested for rescue boat and water pump.",MEDIUM,FLOOD
ERSS-000045,2025-02-05 10:24:00,Kerala,Kottayam,ZONE-5,Rescue,"Rescue operation required near the local market in Kottayam, Kerala. 2 person(s) affected, no major injuries reported. Dispatch requested for ambulance.",LOW,FLOOD
ERSS-000046,2025-03-04 06:41:00,Karnataka,Kodagu,ZONE-5,Road Blockage,"Road blockage reported in a residential colony in Kodagu, Karnataka. 3 person(s) affected, no major injuries reported. Dispatch requested for traffic police team.",LOW,FLOOD
ERSS-000047,2025-04-18 16:15:00,Uttar Pradesh,Gorakhpur,ZONE-5,Waterlogging,"Waterlogging reported close to the river bank in Gorakhpur, Uttar Pradesh. 9 people affected including elderly and children, some injuries reported. Dispatch requested for drainage team.",HIGH,FLOOD
ERSS-000048,2025-06-26 15:23:00,Karnataka,Kodagu,ZONE-4,Flooding,"Flooding reported near the main bridge in Kodagu, Karnataka. 18 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF flood rescue team and life jackets.",HIGH,FLOOD
ERSS-000049,2025-08-18 13:11:00,Maharashtra,Nashik,ZONE-1,Waterlogging,"Waterlogging reported near the village school in Nashik, Maharashtra. 16 people affected including elderly and children, some injuries reported. Dispatch requested for sandbags and drainage team.",HIGH,FLOOD
ERSS-000050,2025-10-21 15:36:00,West Bengal,Kolkata,ZONE-5,Flooding,"Flooding reported in the old town area in Kolkata, West Bengal. 40 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for relief supplies and NDRF flood rescue team.",CRITICAL,FLOOD
ERSS-000051,2025-02-19 20:05:00,West Bengal,Murshidabad,ZONE-4,Medical Emergency,"Medical emergency reported in the hilly terrain in Murshidabad, West Bengal. 8 people affected, minor injuries reported. Dispatch requested for emergency medical team.",MEDIUM,FLOOD
ERSS-000052,2025-09-04 23:32:00,Bihar,Muzaffarpur,ZONE-2,Road Blockage,"Road blockage reported near the industrial area in Muzaffarpur, Bihar. 3 person(s) affected, no major injuries reported. Dispatch requested for road clearance crew.",LOW,FLOOD
ERSS-000053,2026-01-29 12:59:00,Gujarat,Vadodara,ZONE-3,Road Blockage,"Road blockage reported near the village school in Vadodara, Gujarat. 43 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for traffic police team.",CRITICAL,FLOOD
ERSS-000054,2025-05-14 10:35:00,Tamil Nadu,Coimbatore,ZONE-3,Rescue,"Rescue operation required close to the river bank in Coimbatore, Tamil Nadu. 3 person(s) affected, no major injuries reported. Dispatch requested for NDRF rescue team.",LOW,FLOOD
ERSS-000055,2025-08-23 11:54:00,Bihar,Darbhanga,ZONE-2,Rescue,"Rescue operation required at the highway junction in Darbhanga, Bihar. 3 people affected, minor injuries reported. Dispatch requested for rescue rope and ladder.",MEDIUM,FLOOD
ERSS-000056,2025-11-30 19:50:00,Assam,Jorhat,ZONE-1,Flooding,"Flooding reported close to the river bank in Jorhat, Assam. 1 person(s) affected, no major injuries reported. Dispatch requested for rescue boat and NDRF flood rescue team.",LOW,FLOOD
ERSS-000057,2025-04-07 06:29:00,Uttar Pradesh,Lucknow,ZONE-1,Rescue,"Rescue operation required near the government hospital in Lucknow, Uttar Pradesh. 9 people affected including elderly and children, some injuries reported. Dispatch requested for ambulance.",HIGH,FLOOD
ERSS-000058,2026-02-11 21:52:00,Gujarat,Ahmedabad,ZONE-5,Flooding,"Flooding reported at the highway junction in Ahmedabad, Gujarat. 77 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for water pump.",CRITICAL,FLOOD
ERSS-000059,2025-04-04 12:27:00,Bihar,Muzaffarpur,ZONE-5,Flooding,"Flooding reported in a residential colony in Muzaffarpur, Bihar. 11 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF flood rescue team and relief supplies.",HIGH,FLOOD
ERSS-000060,2025-04-18 03:07:00,Bihar,Darbhanga,ZONE-2,Road Blockage,"Road blockage reported near the main bridge in Darbhanga, Bihar. 11 people affected including elderly and children, some injuries reported. Dispatch requested for road clearance crew.",HIGH,FLOOD
ERSS-000061,2026-01-20 05:47:00,Karnataka,Bengaluru,ZONE-2,Road Blockage,"Road blockage reported close to the river bank in Bengaluru, Karnataka. 60 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for road clearance crew.",CRITICAL,FLOOD
ERSS-000062,2026-02-12 06:19:00,Maharashtra,Nashik,ZONE-3,Medical Emergency,"Medical emergency reported in the low-lying area in Nashik, Maharashtra. 8 people affected, minor injuries reported. Dispatch requested for emergency medical team.",MEDIUM,FLOOD
ERSS-000063,2025-03-04 00:42:00,Tamil Nadu,Tiruppur,ZONE-1,Rescue,"Rescue operation required near the local market in Tiruppur, Tamil Nadu. 6 people affected, minor injuries reported. Dispatch requested for NDRF rescue team and fire and rescue unit.",MEDIUM,FLOOD
ERSS-000064,2025-06-20 11:58:00,Gujarat,Bharuch,ZONE-4,Flooding,"Flooding reported in the hilly terrain in Bharuch, Gujarat. 46 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for rescue boat.",CRITICAL,FLOOD
ERSS-000065,2025-06-07 11:54:00,Tamil Nadu,Tiruppur,ZONE-4,Road Blockage,"Road blockage reported in a residential colony in Tiruppur, Tamil Nadu. 10 people affected including elderly and children, some injuries reported. Dispatch requested for road clearance crew.",HIGH,FLOOD
ERSS-000066,2025-03-14 10:45:00,Uttar Pradesh,Kanpur,ZONE-2,Flooding,"Flooding reported in the low-lying area in Kanpur, Uttar Pradesh. 15 people affected including elderly and children, some injuries reported. Dispatch requested for water pump.",HIGH,FLOOD
ERSS-000067,2025-01-22 06:49:00,Karnataka,Mangaluru,ZONE-4,Road Blockage,"Road blockage reported in a residential colony in Mangaluru, Karnataka. 3 person(s) affected, no major injuries reported. Dispatch requested for road clearance crew.",LOW,FLOOD
ERSS-000068,2025-09-06 01:27:00,Tamil Nadu,Tiruppur,ZONE-1,Rescue,"Rescue operation required close to the river bank in Tiruppur, Tamil Nadu. 3 people affected, minor injuries reported. Dispatch requested for NDRF rescue team.",MEDIUM,FLOOD
ERSS-000069,2026-02-05 08:02:00,Uttar Pradesh,Prayagraj,ZONE-4,Rescue,"Rescue operation required near the government hospital in Prayagraj, Uttar Pradesh. 2 person(s) affected, no major injuries reported. Dispatch requested for rescue rope and ladder.",LOW,FLOOD
ERSS-000070,2025-03-11 21:21:00,Karnataka,Mangaluru,ZONE-4,Flooding,"Flooding reported near the village school in Mangaluru, Karnataka. 66 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for NDRF flood rescue team.",CRITICAL,FLOOD
ERSS-000071,2025-09-22 16:02:00,Gujarat,Bharuch,ZONE-5,Rescue,"Rescue operation required near the government hospital in Bharuch, Gujarat. 63 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for rescue rope and ladder.",CRITICAL,FLOOD
ERSS-000072,2025-05-12 01:03:00,Maharashtra,Nashik,ZONE-1,Flooding,"Flooding reported near the local market in Nashik, Maharashtra. 6 people affected, minor injuries reported. Dispatch requested for water pump.",MEDIUM,FLOOD
ERSS-000073,2026-01-17 14:43:00,Karnataka,Udupi,ZONE-3,Rescue,"Rescue operation required near the bus stand in Udupi, Karnataka. 10 people affected including elderly and children, some injuries reported. Dispatch requested for fire and rescue unit.",HIGH,FLOOD
ERSS-000074,2025-11-24 02:32:00,Odisha,Puri,ZONE-1,Road Blockage,"Road blockage reported in a residential colony in Puri, Odisha. 8 people affected including elderly and children, some injuries reported. Dispatch requested for traffic police team.",HIGH,FLOOD
ERSS-000075,2025-03-13 19:32:00,Kerala,Kozhikode,ZONE-5,Road Blockage,"Road blockage reported in the riverside settlement in Kozhikode, Kerala. 5 people affected, minor injuries reported. Dispatch requested for tow truck and earthmover (JCB).",MEDIUM,FLOOD
ERSS-000076,2025-11-01 10:31:00,West Bengal,Murshidabad,ZONE-5,Flooding,"Flooding reported near the local market in Murshidabad, West Bengal. 2 person(s) affected, no major injuries reported. Dispatch requested for life jackets.",LOW,FLOOD
ERSS-000077,2026-01-01 14:13:00,Odisha,Bhubaneswar,ZONE-3,Rescue,"Rescue operation required at the highway junction in Bhubaneswar, Odisha. 16 people affected including elderly and children, some injuries reported. Dispatch requested for rescue rope and ladder and NDRF rescue team.",HIGH,FLOOD
ERSS-000078,2025-09-09 09:40:00,Kerala,Alappuzha,ZONE-3,Road Blockage,"Road blockage reported close to the river bank in Alappuzha, Kerala. 17 people affected including elderly and children, some injuries reported. Dispatch requested for tow truck.",HIGH,FLOOD
ERSS-000079,2026-01-23 20:57:00,Assam,Guwahati,ZONE-5,Flooding,"Flooding reported close to the river bank in Guwahati, Assam. 9 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF flood rescue team and relief supplies.",HIGH,FLOOD
ERSS-000080,2025-06-21 00:36:00,West Bengal,Howrah,ZONE-4,Flooding,"Flooding reported near the government hospital in Howrah, West Bengal. 7 people affected, minor injuries reported. Dispatch requested for NDRF flood rescue team and rescue boat.",MEDIUM,FLOOD
ERSS-000081,2025-04-23 13:44:00,Assam,Dhemaji,ZONE-1,Flooding,"Flooding reported close to the river bank in Dhemaji, Assam. 17 people affected including elderly and children, some injuries reported. Dispatch requested for life jackets.",HIGH,FLOOD
ERSS-000082,2026-01-10 10:22:00,Assam,Jorhat,ZONE-3,Flooding,"Flooding reported at the highway junction in Jorhat, Assam. 4 people affected, minor injuries reported. Dispatch requested for water pump.",MEDIUM,FLOOD
ERSS-000083,2025-01-13 10:14:00,Karnataka,Mysuru,ZONE-4,Rescue,"Rescue operation required near the industrial area in Mysuru, Karnataka. 2 person(s) affected, no major injuries reported. Dispatch requested for ambulance and NDRF rescue team.",LOW,FLOOD
ERSS-000084,2025-03-01 10:46:00,Kerala,Thrissur,ZONE-5,Waterlogging,"Waterlogging reported in the low-lying area in Thrissur, Kerala. 15 people affected including elderly and children, some injuries reported. Dispatch requested for road clearance team.",HIGH,FLOOD
ERSS-000085,2025-09-15 20:31:00,Odisha,Bhubaneswar,ZONE-3,Road Blockage,"Road blockage reported at the railway crossing in Bhubaneswar, Odisha. 6 people affected, minor injuries reported. Dispatch requested for tow truck.",MEDIUM,FLOOD
ERSS-000086,2025-02-19 12:24:00,Odisha,Balasore,ZONE-2,Rescue,"Rescue operation required in the riverside settlement in Balasore, Odisha. 16 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF rescue team and fire and rescue unit.",HIGH,FLOOD
ERSS-000087,2026-02-12 06:00:00,Maharashtra,Nashik,ZONE-2,Road Blockage,"Road blockage reported in a residential colony in Nashik, Maharashtra. 13 people affected including elderly and children, some injuries reported. Dispatch requested for earthmover (JCB) and tow truck.",HIGH,FLOOD
ERSS-000088,2025-06-29 17:09:00,Karnataka,Udupi,ZONE-5,Road Blockage,"Road blockage reported near the government hospital in Udupi, Karnataka. 13 people affected including elderly and children, some injuries reported. Dispatch requested for traffic police team.",HIGH,FLOOD
ERSS-000089,2025-11-24 02:12:00,Odisha,Puri,ZONE-1,Rescue,"Rescue operation required near the bus stand in Puri, Odisha. 7 people affected, minor injuries reported. Dispatch requested for fire and rescue unit.",MEDIUM,FLOOD
ERSS-000090,2025-06-05 01:19:00,Maharashtra,Kolhapur,ZONE-2,Medical Emergency,"Medical emergency reported in the hilly terrain in Kolhapur, Maharashtra. 8 people affected, minor injuries reported. Dispatch requested for ambulance.",MEDIUM,FLOOD
ERSS-000091,2025-04-22 06:40:00,Gujarat,Ahmedabad,ZONE-4,Medical Emergency,"Medical emergency reported in the old town area in Ahmedabad, Gujarat. 1 person(s) affected, no major injuries reported. Dispatch requested for medical first-aid kit and emergency medical team.",LOW,FLOOD
ERSS-000092,2026-02-16 07:24:00,Gujarat,Rajkot,ZONE-2,Flooding,"Flooding reported near the government hospital in Rajkot, Gujarat. 3 people affected, minor injuries reported. Dispatch requested for water pump.",MEDIUM,FLOOD
ERSS-000093,2025-04-26 07:50:00,Uttar Pradesh,Gorakhpur,ZONE-4,Flooding,"Flooding reported near the government hospital in Gorakhpur, Uttar Pradesh. 1 person(s) affected, no major injuries reported. Dispatch requested for life jackets.",LOW,FLOOD
ERSS-000094,2025-11-19 11:20:00,Assam,Dibrugarh,ZONE-4,Rescue,"Rescue operation required near the bus stand in Dibrugarh, Assam. 3 person(s) affected, no major injuries reported. Dispatch requested for rescue rope and ladder.",LOW,FLOOD
ERSS-000095,2025-11-07 02:56:00,West Bengal,Malda,ZONE-1,Waterlogging,"Waterlogging reported at the railway crossing in Malda, West Bengal. 16 people affected including elderly and children, some injuries reported. Dispatch requested for road clearance team.",HIGH,FLOOD
ERSS-000096,2025-01-16 13:40:00,Karnataka,Kodagu,ZONE-3,Waterlogging,"Waterlogging reported near the village school in Kodagu, Karnataka. 9 people affected including elderly and children, some injuries reported. Dispatch requested for water pump.",HIGH,FLOOD
ERSS-000097,2025-09-26 17:52:00,Assam,Dhemaji,ZONE-4,Rescue,"Rescue operation required near the industrial area in Dhemaji, Assam. 8 people affected including elderly and children, some injuries reported. Dispatch requested for ambulance.",HIGH,FLOOD
ERSS-000098,2025-12-09 21:32:00,West Bengal,Murshidabad,ZONE-2,Flooding,"Flooding reported near the local market in Murshidabad, West Bengal. 18 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF flood rescue team.",HIGH,FLOOD
ERSS-000099,2025-11-25 11:38:00,West Bengal,Darjeeling,ZONE-5,Rescue,"Rescue operation required near the bus stand in Darjeeling, West Bengal. 69 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for fire and rescue unit.",CRITICAL,FLOOD
ERSS-000100,2025-03-22 02:14:00,Kerala,Thrissur,ZONE-4,Flooding,"Flooding reported at the highway junction in Thrissur, Kerala. 1 person(s) affected, no major injuries reported. Dispatch requested for rescue boat.",LOW,FLOOD
ERSS-000101,2025-07-10 04:42:00,Kerala,Kozhikode,ZONE-1,Flooding,"Flooding reported near the government hospital in Kozhikode, Kerala. 62 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for NDRF flood rescue team and rescue boat.",CRITICAL,FLOOD
ERSS-000102,2025-08-16 12:47:00,Bihar,Gaya,ZONE-3,Flooding,"Flooding reported in the riverside settlement in Gaya, Bihar. 10 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF flood rescue team and relief supplies.",HIGH,FLOOD
ERSS-000103,2025-10-09 10:48:00,Gujarat,Surat,ZONE-4,Road Blockage,"Road blockage reported near the local market in Surat, Gujarat. 20 people affected including elderly and children, some injuries reported. Dispatch requested for earthmover (JCB).",HIGH,FLOOD
ERSS-000104,2026-01-11 23:52:00,Bihar,Gaya,ZONE-3,Road Blockage,"Road blockage reported in the old town area in Gaya, Bihar. 11 people affected including elderly and children, some injuries reported. Dispatch requested for earthmover (JCB).",HIGH,FLOOD
ERSS-000105,2026-01-18 21:09:00,Uttar Pradesh,Gorakhpur,ZONE-5,Flooding,"Flooding reported near the industrial area in Gorakhpur, Uttar Pradesh. 5 people affected, minor injuries reported. Dispatch requested for rescue boat.",MEDIUM,FLOOD
ERSS-000106,2025-02-05 04:24:00,Karnataka,Kodagu,ZONE-1,Rescue,"Rescue operation required near the main bridge in Kodagu, Karnataka. 19 people affected including elderly and children, some injuries reported. Dispatch requested for fire and rescue unit and ambulance.",HIGH,FLOOD
ERSS-000107,2025-09-09 13:15:00,West Bengal,Darjeeling,ZONE-1,Flooding,"Flooding reported on the national highway in Darjeeling, West Bengal. 1 person(s) affected, no major injuries reported. Dispatch requested for NDRF flood rescue team.",LOW,FLOOD
ERSS-000108,2025-11-12 18:13:00,Maharashtra,Kolhapur,ZONE-3,Waterlogging,"Waterlogging reported near the government hospital in Kolhapur, Maharashtra. 1 person(s) affected, no major injuries reported. Dispatch requested for water pump.",LOW,FLOOD
ERSS-000109,2025-01-24 03:19:00,Maharashtra,Mumbai,ZONE-3,Flooding,"Flooding reported in the hilly terrain in Mumbai, Maharashtra. 20 people affected including elderly and children, some injuries reported. Dispatch requested for relief supplies.",HIGH,FLOOD
ERSS-000110,2025-07-28 03:37:00,Odisha,Cuttack,ZONE-1,Road Blockage,"Road blockage reported near the industrial area in Cuttack, Odisha. 1 person(s) affected, no major injuries reported. Dispatch requested for traffic police team and road clearance crew.",LOW,FLOOD
ERSS-000111,2025-02-16 00:08:00,Karnataka,Udupi,ZONE-2,Medical Emergency,"Medical emergency reported near the main bridge in Udupi, Karnataka. 19 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for ambulance and paramedic team.",CRITICAL,FLOOD
ERSS-000112,2025-06-24 19:07:00,Uttar Pradesh,Lucknow,ZONE-4,Flooding,"Flooding reported in the old town area in Lucknow, Uttar Pradesh. 11 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF flood rescue team.",HIGH,FLOOD
ERSS-000113,2025-04-08 10:39:00,Tamil Nadu,Madurai,ZONE-2,Flooding,"Flooding reported in the old town area in Madurai, Tamil Nadu. 12 people affected including elderly and children, some injuries reported. Dispatch requested for water pump.",HIGH,FLOOD
