record_id,source_document,page_number,section,disaster_phase,hazard_type,responsible_agency,action_type,action_text,keywords,text_clean
SOP_000011,DISMGPLAN_SOP,13,Unknown,General,Multi_Hazard,NDMA; National Executive Committee,General_Procedure,"Finalization of the first National Disaster Management Plan is the culmination of a long process. During this period several rounds of consultations were held, inputs sought and draft sections prepared. We would like to gratefuly acknowledge the contribution of the members of the National Executive Committee who prepared the initial draft. The former Members of NDMA played a critical role in providing substantive guidance to the preparation of the earlier drafts. These inputs have proved to be a bedrock on which the current Plan stands.","acknowledge, bedrock, committee, consultations, contribution, critical, culmination, current, disaster, draft, drafts, during, earlier, executive, finalization, first, former, gratefuly, guidance, held, initial, inputs, like, long, management, members, national, ndma, period, plan, played, preparation, prepared, process, proved, providing, role, rounds, sections, several, sought, stands, substantive, were, would","Finalization of the first National Disaster Management Plan is the culmination of a long process. During this period several rounds of consultations were held, inputs sought and draft sections prepared. We would like to gratefuly acknowledge the contribution of the members of the National Executive Committee who prepared the initial draft. The former Members of NDMA played a critical role in providing substantive guidance to the preparation of the earlier drafts. These inputs have proved to be a bedrock on which the current Plan stands."
SOP_000012,DISMGPLAN_SOP,13,Unknown,General,Multi_Hazard,State Government,General_Procedure,"In summary, the preparation of the National Disaster Management Plan exemplifies team work that spans across different parts of the national and state governments, civil society organizations and the academia. This sets the tone for the team work that will be required for its effective implementation.","academia, across, civil, different, disaster, effective, exemplifies, governments, implementation, management, national, organizations, parts, plan, preparation, required, sets, society, spans, state, summary, team, tone, work","In summary, the preparation of the National Disaster Management Plan exemplifies team work that spans across different parts of the national and state governments, civil society organizations and the academia. This sets the tone for the team work that will be required for its effective implementation."
SOP_000013,DISMGPLAN_SOP,15,Unknown,General,Multi_Hazard,Not_Explicitly_Specified,General_Procedure,"National Disaster Management Plan I Contents List of Figures vi List of Tables vi Abbreviations vii Executive Summary xiii 1 Introduction 1 1.1 Rationale 1 1.2 Vision 2 1.3 Legal Mandate 2 1.4 Scope 2 1.5 Objectives 4 1.6 Sendai Framework 4 1.7 Integrating Sendai Framework into NDMP 6 1.8 Disasters, Risk Reduction and Management - Definitions 6","abbreviations, contents, definitions, disaster, disasters, executive, figures, framework, integrating, introduction, legal, list, management, mandate, national, ndmp, objectives, plan, rationale, reduction, risk, scope, sendai, summary, tables, vision, xiii","National Disaster Management Plan I Contents List of Figures vi List of Tables vi Abbreviations vii Executive Summary xiii 1 Introduction 1 1.1 Rationale 1 1.2 Vision 2 1.3 Legal Mandate 2 1.4 Scope 2 1.5 Objectives 4 1.6 Sendai Framework 4 1.7 Integrating Sendai Framework into NDMP 6 1.8 Disasters, Risk Reduction and Management - Definitions 6"
SOP_000014,DISMGPLAN_SOP,15,1.8.3 Disaster Risk Reduction (Mitigation) 8 1.9 Types of Disasters 8,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,1.8.3 Disaster Risk Reduction (Mitigation) 8 1.9 Types of Disasters 8,"disaster, disasters, mitigation, reduction, risk, types",1.8.3 Disaster Risk Reduction (Mitigation) 8 1.9 Types of Disasters 8
SOP_000015,DISMGPLAN_SOP,15,1.9.2 Human-Induced Disasters 10 1.10 Levels of Disasters 11 1.11 Institutional Framework 11,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,1.9.2 Human-Induced Disasters 10 1.10 Levels of Disasters 11 1.11 Institutional Framework 11,"disasters, framework, human, induced, institutional, levels",1.9.2 Human-Induced Disasters 10 1.10 Levels of Disasters 11 1.11 Institutional Framework 11
SOP_000016,DISMGPLAN_SOP,15,"1.11.2 State Level 16 1.12 Plan Implementation 18 2 Hazard Risk and Vulnerability - National Profile 19 2.1 Background 19 2.2 Hazard, Risk and Vulnerability Profile 20",General,General_Disaster,Not_Explicitly_Specified,General_Procedure,"1.11.2 State Level 16 1.12 Plan Implementation 18 2 Hazard Risk and Vulnerability - National Profile 19 2.1 Background 19 2.2 Hazard, Risk and Vulnerability Profile 20","background, hazard, implementation, level, national, plan, profile, risk, state, vulnerability","1.11.2 State Level 16 1.12 Plan Implementation 18 2 Hazard Risk and Vulnerability - National Profile 19 2.1 Background 19 2.2 Hazard, Risk and Vulnerability Profile 20"
SOP_000017,DISMGPLAN_SOP,15,2.2.1 Multi-Hazard Vulnerability 20,General,Multi_Hazard,Not_Explicitly_Specified,General_Procedure,2.2.1 Multi-Hazard Vulnerability 20,"hazard, multi, vulnerability",2.2.1 Multi-Hazard Vulnerability 20
SOP_000018,DISMGPLAN_SOP,15,2.2.3 Human-induced Disasters 26,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,2.2.3 Human-induced Disasters 26,"disasters, human, induced",2.2.3 Human-induced Disasters 26
SOP_000019,DISMGPLAN_SOP,15,2.2.5 Regions/areas involving multiple states requiring special attention 28,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,2.2.5 Regions/areas involving multiple states requiring special attention 28,"areas, attention, involving, multiple, regions, requiring, special, states",2.2.5 Regions/areas involving multiple states requiring special attention 28
SOP_000020,DISMGPLAN_SOP,16,2.2.5 Regions/areas involving multiple states requiring special attention 28,General,Multi_Hazard,Not_Explicitly_Specified,General_Procedure,National Disaster Management Authority II 3 Reducing Risk; Enhancing Resilience 31 3.1 Background 31,"authority, background, disaster, enhancing, management, national, reducing, resilience, risk",National Disaster Management Authority II 3 Reducing Risk; Enhancing Resilience 31 3.1 Background 31
SOP_000021,DISMGPLAN_SOP,16,3.1.2 Inter-Agency Coordination 32,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.1.2 Inter-Agency Coordination 32,"agency, coordination, inter",3.1.2 Inter-Agency Coordination 32
SOP_000022,DISMGPLAN_SOP,16,3.1.3 Investing in DRR – Structural Measures 32,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.1.3 Investing in DRR – Structural Measures 32,"investing, measures, structural",3.1.3 Investing in DRR – Structural Measures 32
SOP_000023,DISMGPLAN_SOP,16,3.1.4 Investing in DRR – Non-Structural Measures 32,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.1.4 Investing in DRR – Non-Structural Measures 32,"investing, measures, structural",3.1.4 Investing in DRR – Non-Structural Measures 32
SOP_000024,DISMGPLAN_SOP,16,3.1.5 Capacity Development 32,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.1.5 Capacity Development 32,"capacity, development",3.1.5 Capacity Development 32
SOP_000025,DISMGPLAN_SOP,16,3.1.6 Hazard-wise Responsibility Matrices for Disaster Risk Mitigation 33 3.2 Cyclone and Wind Risk Mitigation 34,General,Cyclone,Not_Explicitly_Specified,General_Procedure,3.1.6 Hazard-wise Responsibility Matrices for Disaster Risk Mitigation 33 3.2 Cyclone and Wind Risk Mitigation 34,"cyclone, disaster, hazard, matrices, mitigation, responsibility, risk, wind, wise",3.1.6 Hazard-wise Responsibility Matrices for Disaster Risk Mitigation 33 3.2 Cyclone and Wind Risk Mitigation 34
SOP_000026,DISMGPLAN_SOP,16,3.2.2 Inter-Agency Coordination 36,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.2.2 Inter-Agency Coordination 36,"agency, coordination, inter",3.2.2 Inter-Agency Coordination 36
SOP_000027,DISMGPLAN_SOP,16,3.2.3 Investing in DRR – Structural Measures 37,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.2.3 Investing in DRR – Structural Measures 37,"investing, measures, structural",3.2.3 Investing in DRR – Structural Measures 37
SOP_000028,DISMGPLAN_SOP,16,3.2.4 Investing in DRR – Non-Structural Measures 37,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.2.4 Investing in DRR – Non-Structural Measures 37,"investing, measures, structural",3.2.4 Investing in DRR – Non-Structural Measures 37
SOP_000029,DISMGPLAN_SOP,16,3.2.5 Capacity Development 38 3.3 Flood Risk Mitigation 41,General,Flood,Not_Explicitly_Specified,General_Procedure,3.2.5 Capacity Development 38 3.3 Flood Risk Mitigation 41,"capacity, development, flood, mitigation, risk",3.2.5 Capacity Development 38 3.3 Flood Risk Mitigation 41
SOP_000030,DISMGPLAN_SOP,16,3.3.2 Inter-Agency Coordination 43,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.3.2 Inter-Agency Coordination 43,"agency, coordination, inter",3.3.2 Inter-Agency Coordination 43
SOP_000031,DISMGPLAN_SOP,16,3.3.3 Investing in DRR – Structural Measures 44,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.3.3 Investing in DRR – Structural Measures 44,"investing, measures, structural",3.3.3 Investing in DRR – Structural Measures 44
SOP_000032,DISMGPLAN_SOP,16,3.3.4 Investing in DRR – Non-Structural Measures 45,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.3.4 Investing in DRR – Non-Structural Measures 45,"investing, measures, structural",3.3.4 Investing in DRR – Non-Structural Measures 45
SOP_000033,DISMGPLAN_SOP,16,3.3.5 Capacity Development 46 3.4 Urban Flooding Risk Mitigation 49,General,Flood,Not_Explicitly_Specified,General_Procedure,3.3.5 Capacity Development 46 3.4 Urban Flooding Risk Mitigation 49,"capacity, development, flooding, mitigation, risk, urban",3.3.5 Capacity Development 46 3.4 Urban Flooding Risk Mitigation 49
SOP_000034,DISMGPLAN_SOP,16,3.4.2 Inter-Agency Coordination 50,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.4.2 Inter-Agency Coordination 50,"agency, coordination, inter",3.4.2 Inter-Agency Coordination 50
SOP_000035,DISMGPLAN_SOP,16,3.4.3 Investing in DRR – Structural Measures 51,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.4.3 Investing in DRR – Structural Measures 51,"investing, measures, structural",3.4.3 Investing in DRR – Structural Measures 51
SOP_000036,DISMGPLAN_SOP,16,3.4.4 Investing in DRR – Non-Structural Measures 52,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.4.4 Investing in DRR – Non-Structural Measures 52,"investing, measures, structural",3.4.4 Investing in DRR – Non-Structural Measures 52
SOP_000037,DISMGPLAN_SOP,16,3.4.5 Capacity Development 53 3.5 Seismic Risk Mitigation 55,General,Earthquake,Not_Explicitly_Specified,General_Procedure,3.4.5 Capacity Development 53 3.5 Seismic Risk Mitigation 55,"capacity, development, mitigation, risk, seismic",3.4.5 Capacity Development 53 3.5 Seismic Risk Mitigation 55
SOP_000038,DISMGPLAN_SOP,16,3.5.2 Inter-Agency Coordination 56,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.5.2 Inter-Agency Coordination 56,"agency, coordination, inter",3.5.2 Inter-Agency Coordination 56
SOP_000039,DISMGPLAN_SOP,16,3.5.3 Investing in DRR – Structural Measures 56,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.5.3 Investing in DRR – Structural Measures 56,"investing, measures, structural",3.5.3 Investing in DRR – Structural Measures 56
SOP_000040,DISMGPLAN_SOP,16,3.5.4 Investing in DRR – Non-Structural Measures 57,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.5.4 Investing in DRR – Non-Structural Measures 57,"investing, measures, structural",3.5.4 Investing in DRR – Non-Structural Measures 57
SOP_000041,DISMGPLAN_SOP,16,3.5.5 Capacity Development 58 3.6 Tsunami Risk Mitigation 60,General,Tsunami,Not_Explicitly_Specified,General_Procedure,3.5.5 Capacity Development 58 3.6 Tsunami Risk Mitigation 60,"capacity, development, mitigation, risk, tsunami",3.5.5 Capacity Development 58 3.6 Tsunami Risk Mitigation 60
SOP_000042,DISMGPLAN_SOP,16,3.6.2 Inter-Agency Coordination 61,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.6.2 Inter-Agency Coordination 61,"agency, coordination, inter",3.6.2 Inter-Agency Coordination 61
SOP_000043,DISMGPLAN_SOP,16,3.6.3 Investing in DRR – Structural Measures 61,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.6.3 Investing in DRR – Structural Measures 61,"investing, measures, structural",3.6.3 Investing in DRR – Structural Measures 61
SOP_000044,DISMGPLAN_SOP,16,3.6.4 Investing in DRR – Non-Structural Measures 62,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.6.4 Investing in DRR – Non-Structural Measures 62,"investing, measures, structural",3.6.4 Investing in DRR – Non-Structural Measures 62
SOP_000045,DISMGPLAN_SOP,16,3.6.5 Capacity Development 64,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.6.5 Capacity Development 64,"capacity, development",3.6.5 Capacity Development 64
SOP_000046,DISMGPLAN_SOP,17,3.6.5 Capacity Development 64,General,Avalanche; Landslide; Multi_Hazard,Not_Explicitly_Specified,General_Procedure,National Disaster Management Plan III 3.7 Landslides and Snow Avalanches Risk Mitigation 66,"avalanches, disaster, landslides, management, mitigation, national, plan, risk, snow",National Disaster Management Plan III 3.7 Landslides and Snow Avalanches Risk Mitigation 66
SOP_000047,DISMGPLAN_SOP,17,3.7.2 Inter-Agency Coordination 67,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.7.2 Inter-Agency Coordination 67,"agency, coordination, inter",3.7.2 Inter-Agency Coordination 67
SOP_000048,DISMGPLAN_SOP,17,3.7.3 Investing in DRR – Structural Measures 68,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.7.3 Investing in DRR – Structural Measures 68,"investing, measures, structural",3.7.3 Investing in DRR – Structural Measures 68
SOP_000049,DISMGPLAN_SOP,17,3.7.4 Investing in DRR – Non-Structural Measures 68,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.7.4 Investing in DRR – Non-Structural Measures 68,"investing, measures, structural",3.7.4 Investing in DRR – Non-Structural Measures 68
SOP_000050,DISMGPLAN_SOP,17,3.7.5 Capacity Development 69 3.8 Drought Risk Mitigation 71,General,Drought,Not_Explicitly_Specified,General_Procedure,3.7.5 Capacity Development 69 3.8 Drought Risk Mitigation 71,"capacity, development, drought, mitigation, risk",3.7.5 Capacity Development 69 3.8 Drought Risk Mitigation 71
SOP_000051,DISMGPLAN_SOP,17,3.8.2 Inter-Agency Coordination 73,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.8.2 Inter-Agency Coordination 73,"agency, coordination, inter",3.8.2 Inter-Agency Coordination 73
SOP_000052,DISMGPLAN_SOP,17,3.8.3 Investing in DRR – Structural Measures 74,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.8.3 Investing in DRR – Structural Measures 74,"investing, measures, structural",3.8.3 Investing in DRR – Structural Measures 74
SOP_000053,DISMGPLAN_SOP,17,3.8.4 Investing in DRR – Non-Structural Measures 75,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.8.4 Investing in DRR – Non-Structural Measures 75,"investing, measures, structural",3.8.4 Investing in DRR – Non-Structural Measures 75
SOP_000054,DISMGPLAN_SOP,17,3.8.5 Capacity Development 76 3.9 Cold Wave and Frost 79,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.8.5 Capacity Development 76 3.9 Cold Wave and Frost 79,"capacity, cold, development, frost, wave",3.8.5 Capacity Development 76 3.9 Cold Wave and Frost 79
SOP_000055,DISMGPLAN_SOP,17,3.9.1 Mitigation Measures for People 79,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.9.1 Mitigation Measures for People 79,"measures, mitigation, people",3.9.1 Mitigation Measures for People 79
SOP_000056,DISMGPLAN_SOP,17,3.9.2 Mitigation Measures for Crops and Animals 79 3.10 Chemical (Industrial) Disasters Risk Mitigation 81,General,Chemical,Not_Explicitly_Specified,General_Procedure,3.9.2 Mitigation Measures for Crops and Animals 79 3.10 Chemical (Industrial) Disasters Risk Mitigation 81,"animals, chemical, crops, disasters, industrial, measures, mitigation, risk",3.9.2 Mitigation Measures for Crops and Animals 79 3.10 Chemical (Industrial) Disasters Risk Mitigation 81
SOP_000057,DISMGPLAN_SOP,17,3.10.1 Understanding Risk 81,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.10.1 Understanding Risk 81,"risk, understanding",3.10.1 Understanding Risk 81
SOP_000058,DISMGPLAN_SOP,17,3.10.2 Inter-Agency Coordination 82,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.10.2 Inter-Agency Coordination 82,"agency, coordination, inter",3.10.2 Inter-Agency Coordination 82
SOP_000059,DISMGPLAN_SOP,17,3.10.3 Investing in DRR – Structural Measures 83,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.10.3 Investing in DRR – Structural Measures 83,"investing, measures, structural",3.10.3 Investing in DRR – Structural Measures 83
SOP_000060,DISMGPLAN_SOP,17,3.10.4 Investing in DRR – Non-Structural Measures 83,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.10.4 Investing in DRR – Non-Structural Measures 83,"investing, measures, structural",3.10.4 Investing in DRR – Non-Structural Measures 83
SOP_000061,DISMGPLAN_SOP,17,3.10.5 Capacity Development 84 3.11 Nuclear and Radiological Emergencies Risk Mitigation 87,General,Nuclear_Radiological,Not_Explicitly_Specified,General_Procedure,3.10.5 Capacity Development 84 3.11 Nuclear and Radiological Emergencies Risk Mitigation 87,"capacity, development, emergencies, mitigation, nuclear, radiological, risk",3.10.5 Capacity Development 84 3.11 Nuclear and Radiological Emergencies Risk Mitigation 87
SOP_000062,DISMGPLAN_SOP,17,3.11.1 Understanding Risk 87,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.11.1 Understanding Risk 87,"risk, understanding",3.11.1 Understanding Risk 87
SOP_000063,DISMGPLAN_SOP,17,3.11.2 Inter-Agency Coordination 87,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.11.2 Inter-Agency Coordination 87,"agency, coordination, inter",3.11.2 Inter-Agency Coordination 87
SOP_000064,DISMGPLAN_SOP,17,3.11.3 Investing in DRR – Structural Measures 88,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.11.3 Investing in DRR – Structural Measures 88,"investing, measures, structural",3.11.3 Investing in DRR – Structural Measures 88
SOP_000065,DISMGPLAN_SOP,17,3.11.4 Investing in DRR – Non-Structural Measures 88,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,3.11.4 Investing in DRR – Non-Structural Measures 88,"investing, measures, structural",3.11.4 Investing in DRR – Non-Structural Measures 88
SOP_000066,DISMGPLAN_SOP,17,3.11.5 Capacity Development 89 3.12 Fire Risk Mitigation 92 4 Preparedness and Response 95 4.1 Background 95 4.2 Institutional Framework 96 4.3 National Early Warning System 96,Preparedness,Fire,Not_Explicitly_Specified,Early_Warning; Preparedness,3.11.5 Capacity Development 89 3.12 Fire Risk Mitigation 92 4 Preparedness and Response 95 4.1 Background 95 4.2 Institutional Framework 96 4.3 National Early Warning System 96,"background, capacity, development, early, fire, framework, institutional, mitigation, national, preparedness, response, risk, system, warning",3.11.5 Capacity Development 89 3.12 Fire Risk Mitigation 92 4 Preparedness and Response 95 4.1 Background 95 4.2 Institutional Framework 96 4.3 National Early Warning System 96
SOP_000067,DISMGPLAN_SOP,17,4.3.1 Central Agencies Designated for Natural Hazard-Specific Early Warnings 96,Early_Warning,General_Disaster,Not_Explicitly_Specified,Early_Warning,4.3.1 Central Agencies Designated for Natural Hazard-Specific Early Warnings 96,"agencies, central, designated, early, hazard, natural, specific, warnings",4.3.1 Central Agencies Designated for Natural Hazard-Specific Early Warnings 96
SOP_000068,DISMGPLAN_SOP,17,4.3.1 Central Agencies Designated for Natural Hazard-Specific Early Warnings 96,Early_Warning,Fire,Not_Explicitly_Specified,General_Procedure,4.3.2 Role of Central Agencies/Departments 97 4.4 Coordination of Response at National Level 97 4.5 Fire and Emergency Services (FES) 98 4.6 Responding to Requests for Central Assistance from States 99 4.7 Management of Disasters Impacting more than one State 99,"agencies, assistance, central, coordination, departments, disasters, emergency, fire, impacting, level, management, more, national, requests, responding, response, role, services, state, states",4.3.2 Role of Central Agencies/Departments 97 4.4 Coordination of Response at National Level 97 4.5 Fire and Emergency Services (FES) 98 4.6 Responding to Requests for Central Assistance from States 99 4.7 Management of Disasters Impacting more than one State 99
